constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
kuiper,630,isls,1160,1162,Rome,Venice,4.58 ms,4.58 ms,8.66 ms,9.17 ms,10.47 ms,0.50 ms,199992/200000 (100%)
telesat,1015,isls,355,356,Rome,Barcelona,7.95 ms,7.95 ms,15.12 ms,15.90 ms,16.82 ms,0.43 ms,199985/200000 (100%)
starlink,550,isls,1584,1585,Frankfurt,Munich,3.79 ms,3.79 ms,7.19 ms,7.57 ms,8.37 ms,0.33 ms,199993/200000 (100%)
kuiper,630,isls,1157,1158,Munich,Amsterdam,4.94 ms,4.94 ms,9.69 ms,9.88 ms,10.37 ms,0.16 ms,199991/200000 (100%)
telesat,1015,isls,356,359,Barcelona,Moscow,13.15 ms,13.15 ms,26.04 ms,26.30 ms,27.02 ms,0.24 ms,199973/200000 (100%)
kuiper,630,isls,1159,1162,London,Venice,5.95 ms,5.95 ms,11.63 ms,11.90 ms,12.53 ms,0.26 ms,199988/200000 (100%)
starlink,550,isls,1589,1591,Barcelona,Helsinki,13.82 ms,13.82 ms,25.41 ms,27.64 ms,47.79 ms,5.32 ms,199974/200000 (100%)
starlink,550,isls,1587,1588,London,Rome,5.23 ms,5.23 ms,10.22 ms,10.47 ms,10.90 ms,0.16 ms,199990/200000 (100%)
telesat,1015,isls,357,359,Venice,Moscow,11.39 ms,11.39 ms,21.18 ms,22.77 ms,23.83 ms,0.71 ms,199979/200000 (100%)
kuiper,630,isls,1156,1162,Frankfurt,Venice,5.00 ms,5.00 ms,9.42 ms,9.99 ms,11.27 ms,0.55 ms,199991/200000 (100%)
starlink,550,isls,1586,1588,Amsterdam,Rome,4.77 ms,4.77 ms,9.30 ms,9.55 ms,10.14 ms,0.21 ms,199991/200000 (100%)
kuiper,630,isls,1156,1163,Frankfurt,Helsinki,8.51 ms,8.51 ms,14.44 ms,17.01 ms,22.33 ms,2.62 ms,173974/200000 (87%)
kuiper,630,isls,1157,1160,Munich,Rome,4.84 ms,4.84 ms,8.70 ms,9.68 ms,11.52 ms,0.89 ms,199992/200000 (100%)
starlink,550,isls,1586,1592,Amsterdam,Moscow,9.35 ms,9.35 ms,17.56 ms,18.69 ms,22.89 ms,0.67 ms,199981/200000 (100%)
telesat,1015,isls,351,356,Frankfurt,Barcelona,8.48 ms,8.48 ms,16.17 ms,16.96 ms,19.24 ms,0.84 ms,199984/200000 (100%)
telesat,1015,isls,351,357,Frankfurt,Venice,7.63 ms,7.63 ms,14.31 ms,15.26 ms,17.81 ms,0.93 ms,199984/200000 (100%)
telesat,1015,isls,354,358,London,Helsinki,10.02 ms,10.02 ms,19.25 ms,20.05 ms,21.00 ms,0.49 ms,199981/200000 (100%)
telesat,1015,isls,356,358,Barcelona,Helsinki,11.63 ms,11.63 ms,23.15 ms,23.27 ms,23.45 ms,0.08 ms,199977/200000 (100%)
starlink,550,isls,1589,1592,Barcelona,Moscow,12.31 ms,12.31 ms,24.23 ms,24.63 ms,31.35 ms,0.54 ms,199976/200000 (100%)
telesat,1015,isls,354,357,London,Venice,8.45 ms,8.45 ms,16.11 ms,16.91 ms,19.45 ms,0.92 ms,199984/200000 (100%)
kuiper,630,isls,1161,1162,Barcelona,Venice,5.54 ms,5.54 ms,10.81 ms,11.08 ms,11.59 ms,0.20 ms,199990/200000 (100%)
kuiper,630,isls,1158,1162,Amsterdam,Venice,5.49 ms,5.49 ms,10.77 ms,10.99 ms,11.53 ms,0.22 ms,199990/200000 (100%)
kuiper,630,isls,1159,1160,London,Rome,5.84 ms,5.84 ms,11.41 ms,11.68 ms,12.31 ms,0.26 ms,199989/200000 (100%)
starlink,550,isls,1585,1591,Munich,Helsinki,7.30 ms,7.30 ms,13.05 ms,14.59 ms,19.33 ms,1.41 ms,199987/200000 (100%)
telesat,1015,isls,352,353,Munich,Amsterdam,7.45 ms,7.45 ms,14.46 ms,14.90 ms,16.49 ms,0.48 ms,199986/200000 (100%)
starlink,550,isls,1588,1592,Rome,Moscow,9.09 ms,9.09 ms,17.01 ms,18.19 ms,23.84 ms,0.98 ms,199983/200000 (100%)
starlink,550,isls,1588,1589,Rome,Barcelona,4.84 ms,4.84 ms,9.35 ms,9.68 ms,10.42 ms,0.31 ms,199991/200000 (100%)
telesat,1015,isls,353,358,Amsterdam,Helsinki,9.28 ms,9.28 ms,17.70 ms,18.55 ms,20.18 ms,0.77 ms,199981/200000 (100%)
starlink,550,isls,1584,1591,Frankfurt,Helsinki,7.45 ms,7.45 ms,13.00 ms,14.91 ms,18.98 ms,1.42 ms,199987/200000 (100%)
starlink,550,isls,1585,1588,Munich,Rome,3.77 ms,3.77 ms,7.14 ms,7.53 ms,7.95 ms,0.22 ms,199993/200000 (100%)
telesat,1015,isls,354,355,London,Rome,8.40 ms,8.40 ms,15.99 ms,16.81 ms,19.38 ms,0.94 ms,199984/200000 (100%)
kuiper,630,isls,1158,1159,Amsterdam,London,4.62 ms,4.62 ms,8.84 ms,9.23 ms,10.40 ms,0.45 ms,199992/200000 (100%)
kuiper,630,isls,1158,1160,Amsterdam,Rome,5.41 ms,5.41 ms,10.59 ms,10.82 ms,11.36 ms,0.22 ms,199990/200000 (100%)
starlink,550,isls,1590,1591,Venice,Helsinki,8.83 ms,8.83 ms,14.48 ms,17.67 ms,26.67 ms,1.94 ms,199983/200000 (100%)
starlink,550,isls,1585,1587,Munich,London,4.80 ms,4.80 ms,9.38 ms,9.61 ms,9.93 ms,0.15 ms,199991/200000 (100%)
kuiper,630,isls,1160,1163,Rome,Helsinki,8.68 ms,8.68 ms,15.46 ms,17.37 ms,24.02 ms,2.57 ms,173973/200000 (87%)
starlink,550,isls,1587,1589,London,Barcelona,5.32 ms,5.32 ms,10.47 ms,10.64 ms,10.92 ms,0.11 ms,199990/200000 (100%)
kuiper,630,isls,1158,1163,Amsterdam,Helsinki,9.48 ms,9.48 ms,15.57 ms,18.95 ms,31.01 ms,2.64 ms,173972/200000 (87%)
starlink,550,isls,1588,1591,Rome,Helsinki,8.83 ms,8.83 ms,14.51 ms,17.65 ms,22.86 ms,1.67 ms,199983/200000 (100%)
