origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink
Rome,Barcelona,isls,telesat,1015,355,356,7.95 ms,7.95 ms,15.12 ms,15.90 ms,16.82 ms,0.43 ms,199985/200000 (100%),kuiper,630,1160,1161,5.48 ms,5.48 ms,10.68 ms,10.97 ms,11.39 ms,0.20 ms,199990/200000 (100%),starlink,550.0,1588.0,1589.0,4.84 ms,4.84 ms,9.35 ms,9.68 ms,10.42 ms,0.31 ms,199991/200000 (100%)
Barcelona,Moscow,isls,telesat,1015,356,359,13.15 ms,13.15 ms,26.04 ms,26.30 ms,27.02 ms,0.24 ms,199973/200000 (100%),kuiper,630,1161,1164,13.64 ms,13.64 ms,24.36 ms,27.28 ms,29.12 ms,1.62 ms,199972/200000 (100%),starlink,550.0,1589.0,1592.0,12.31 ms,12.31 ms,24.23 ms,24.63 ms,31.35 ms,0.54 ms,199976/200000 (100%)
Venice,Moscow,isls,telesat,1015,357,359,11.39 ms,11.39 ms,21.18 ms,22.77 ms,23.83 ms,0.71 ms,199979/200000 (100%),kuiper,630,1162,1164,9.90 ms,9.90 ms,17.31 ms,19.79 ms,21.97 ms,1.54 ms,199980/200000 (100%),starlink,550.0,1590.0,1592.0,9.02 ms,9.02 ms,16.85 ms,18.04 ms,23.86 ms,1.00 ms,199983/200000 (100%)
Frankfurt,Barcelona,isls,telesat,1015,351,356,8.48 ms,8.48 ms,16.17 ms,16.96 ms,19.24 ms,0.84 ms,199984/200000 (100%),kuiper,630,1156,1161,5.92 ms,5.92 ms,11.41 ms,11.85 ms,12.94 ms,0.44 ms,199988/200000 (100%),starlink,550.0,1584.0,1589.0,5.20 ms,5.20 ms,10.22 ms,10.41 ms,10.74 ms,0.13 ms,199990/200000 (100%)
Frankfurt,Venice,isls,telesat,1015,351,357,7.63 ms,7.63 ms,14.31 ms,15.26 ms,17.81 ms,0.93 ms,199984/200000 (100%),kuiper,630,1156,1162,5.00 ms,5.00 ms,9.42 ms,9.99 ms,11.27 ms,0.55 ms,199991/200000 (100%),starlink,550.0,1584.0,1590.0,4.14 ms,4.14 ms,7.98 ms,8.29 ms,8.84 ms,0.24 ms,199992/200000 (100%)
London,Helsinki,isls,telesat,1015,354,358,10.02 ms,10.02 ms,19.25 ms,20.05 ms,21.00 ms,0.49 ms,199981/200000 (100%),kuiper,630,1159,1163,11.06 ms,11.06 ms,21.12 ms,22.11 ms,32.71 ms,1.19 ms,173967/200000 (87%),starlink,550.0,1587.0,1591.0,9.79 ms,9.79 ms,16.80 ms,19.58 ms,23.02 ms,1.43 ms,199983/200000 (100%)
Barcelona,Helsinki,isls,telesat,1015,356,358,11.63 ms,11.63 ms,23.15 ms,23.27 ms,23.45 ms,0.08 ms,199977/200000 (100%),kuiper,630,1161,1163,13.81 ms,13.81 ms,24.02 ms,27.63 ms,39.48 ms,3.00 ms,173954/200000 (87%),starlink,550.0,1589.0,1591.0,13.82 ms,13.82 ms,25.41 ms,27.64 ms,47.79 ms,5.32 ms,199974/200000 (100%)
London,Venice,isls,telesat,1015,354,357,8.45 ms,8.45 ms,16.11 ms,16.91 ms,19.45 ms,0.92 ms,199984/200000 (100%),kuiper,630,1159,1162,5.95 ms,5.95 ms,11.63 ms,11.90 ms,12.53 ms,0.26 ms,199988/200000 (100%),starlink,550.0,1587.0,1590.0,5.35 ms,5.35 ms,10.47 ms,10.69 ms,11.09 ms,0.16 ms,199990/200000 (100%)
Munich,Amsterdam,isls,telesat,1015,352,353,7.45 ms,7.45 ms,14.46 ms,14.90 ms,16.49 ms,0.48 ms,199986/200000 (100%),kuiper,630,1157,1158,4.94 ms,4.94 ms,9.69 ms,9.88 ms,10.37 ms,0.16 ms,199991/200000 (100%),starlink,550.0,1585.0,1586.0,4.28 ms,4.28 ms,8.31 ms,8.55 ms,8.93 ms,0.14 ms,199992/200000 (100%)
Amsterdam,Helsinki,isls,telesat,1015,353,358,9.28 ms,9.28 ms,17.70 ms,18.55 ms,20.18 ms,0.77 ms,199981/200000 (100%),kuiper,630,1158,1163,9.48 ms,9.48 ms,15.57 ms,18.95 ms,31.01 ms,2.64 ms,173972/200000 (87%),starlink,550.0,1586.0,1591.0,8.25 ms,8.26 ms,13.89 ms,16.51 ms,22.95 ms,1.52 ms,199986/200000 (100%)
London,Rome,isls,telesat,1015,354,355,8.40 ms,8.40 ms,15.99 ms,16.81 ms,19.38 ms,0.94 ms,199984/200000 (100%),kuiper,630,1159,1160,5.84 ms,5.84 ms,11.41 ms,11.68 ms,12.31 ms,0.26 ms,199989/200000 (100%),starlink,550.0,1587.0,1588.0,5.23 ms,5.23 ms,10.22 ms,10.47 ms,10.90 ms,0.16 ms,199990/200000 (100%)
Barcelona,Venice,isls,telesat,1015,356,357,7.97 ms,7.97 ms,15.21 ms,15.94 ms,16.76 ms,0.41 ms,199985/200000 (100%),kuiper,630,1161,1162,5.54 ms,5.54 ms,10.81 ms,11.08 ms,11.59 ms,0.20 ms,199990/200000 (100%),starlink,550.0,1589.0,1590.0,4.92 ms,4.92 ms,9.54 ms,9.83 ms,10.60 ms,0.29 ms,199991/200000 (100%)
Munich,London,isls,telesat,1015,352,354,8.01 ms,8.01 ms,15.35 ms,16.01 ms,18.04 ms,0.69 ms,199985/200000 (100%),kuiper,630,1157,1159,5.41 ms,5.41 ms,10.70 ms,10.83 ms,11.10 ms,0.10 ms,199990/200000 (100%),starlink,550.0,1585.0,1587.0,4.80 ms,4.80 ms,9.38 ms,9.61 ms,9.93 ms,0.15 ms,199991/200000 (100%)
Amsterdam,Barcelona,isls,telesat,1015,353,356,9.18 ms,9.18 ms,17.37 ms,18.35 ms,21.00 ms,1.08 ms,199983/200000 (100%),kuiper,630,1158,1161,6.41 ms,6.41 ms,12.12 ms,12.81 ms,17.18 ms,0.64 ms,199986/200000 (100%),starlink,550.0,1586.0,1589.0,5.58 ms,5.58 ms,10.99 ms,11.17 ms,11.41 ms,0.11 ms,199989/200000 (100%)
London,Moscow,isls,telesat,1015,354,359,11.75 ms,11.75 ms,22.62 ms,23.49 ms,24.89 ms,0.68 ms,199977/200000 (100%),kuiper,630,1159,1164,11.53 ms,11.53 ms,22.16 ms,23.05 ms,26.51 ms,1.00 ms,199978/200000 (100%),starlink,550.0,1587.0,1592.0,10.50 ms,10.50 ms,20.58 ms,21.01 ms,25.97 ms,0.43 ms,199980/200000 (100%)
Munich,Helsinki,isls,telesat,1015,352,358,9.61 ms,9.61 ms,17.98 ms,19.21 ms,20.65 ms,0.91 ms,199981/200000 (100%),kuiper,630,1157,1163,8.13 ms,8.13 ms,14.24 ms,16.26 ms,28.82 ms,2.51 ms,173974/200000 (87%),starlink,550.0,1585.0,1591.0,7.30 ms,7.30 ms,13.05 ms,14.59 ms,19.33 ms,1.41 ms,199987/200000 (100%)
Frankfurt,Helsinki,isls,telesat,1015,351,358,9.35 ms,9.35 ms,17.65 ms,18.70 ms,20.23 ms,0.85 ms,199981/200000 (100%),kuiper,630,1156,1163,8.51 ms,8.51 ms,14.44 ms,17.01 ms,22.33 ms,2.62 ms,173974/200000 (87%),starlink,550.0,1584.0,1591.0,7.45 ms,7.45 ms,13.00 ms,14.91 ms,18.98 ms,1.42 ms,199987/200000 (100%)
Munich,Rome,isls,telesat,1015,352,355,7.29 ms,7.29 ms,13.89 ms,14.59 ms,16.60 ms,0.70 ms,199985/200000 (100%),kuiper,630,1157,1160,4.84 ms,4.84 ms,8.70 ms,9.68 ms,11.52 ms,0.89 ms,199992/200000 (100%),starlink,550.0,1585.0,1588.0,3.77 ms,3.77 ms,7.14 ms,7.53 ms,7.95 ms,0.22 ms,199993/200000 (100%)
Munich,Venice,isls,telesat,1015,352,357,7.32 ms,7.32 ms,13.96 ms,14.63 ms,16.55 ms,0.66 ms,199985/200000 (100%),kuiper,630,1157,1162,4.85 ms,4.85 ms,8.73 ms,9.70 ms,11.58 ms,0.89 ms,199992/200000 (100%),starlink,550.0,1585.0,1590.0,3.78 ms,3.78 ms,7.18 ms,7.57 ms,7.94 ms,0.21 ms,199993/200000 (100%)
Frankfurt,Moscow,isls,telesat,1015,351,359,10.75 ms,10.75 ms,20.01 ms,21.50 ms,23.42 ms,0.96 ms,199980/200000 (100%),kuiper,630,1156,1164,9.76 ms,9.76 ms,16.76 ms,19.52 ms,21.69 ms,1.44 ms,199980/200000 (100%),starlink,550.0,1584.0,1592.0,8.58 ms,8.58 ms,16.49 ms,17.16 ms,22.25 ms,0.73 ms,199984/200000 (100%)
Frankfurt,London,isls,telesat,1015,351,354,7.87 ms,7.87 ms,14.81 ms,15.74 ms,17.43 ms,0.64 ms,199986/200000 (100%),kuiper,630,1156,1159,4.90 ms,4.90 ms,9.58 ms,9.81 ms,10.51 ms,0.24 ms,199991/200000 (100%),starlink,550.0,1584.0,1587.0,4.16 ms,4.16 ms,8.20 ms,8.32 ms,8.54 ms,0.10 ms,199992/200000 (100%)
Munich,Barcelona,isls,telesat,1015,352,356,8.16 ms,8.16 ms,15.69 ms,16.31 ms,17.97 ms,0.56 ms,199985/200000 (100%),kuiper,630,1157,1161,5.79 ms,5.79 ms,11.23 ms,11.58 ms,12.50 ms,0.33 ms,199989/200000 (100%),starlink,550.0,1585.0,1589.0,5.18 ms,5.18 ms,10.03 ms,10.36 ms,11.03 ms,0.23 ms,199990/200000 (100%)
Rome,Moscow,isls,telesat,1015,355,359,11.40 ms,11.40 ms,21.23 ms,22.80 ms,23.76 ms,0.68 ms,199979/200000 (100%),kuiper,630,1160,1164,10.05 ms,10.05 ms,17.46 ms,20.10 ms,22.05 ms,1.37 ms,199980/200000 (100%),starlink,550.0,1588.0,1592.0,9.09 ms,9.09 ms,17.01 ms,18.19 ms,23.84 ms,0.98 ms,199983/200000 (100%)
Amsterdam,Rome,isls,telesat,1015,353,355,7.85 ms,7.85 ms,15.11 ms,15.70 ms,17.83 ms,0.72 ms,199985/200000 (100%),kuiper,630,1158,1160,5.41 ms,5.41 ms,10.59 ms,10.82 ms,11.36 ms,0.22 ms,199990/200000 (100%),starlink,550.0,1586.0,1588.0,4.77 ms,4.77 ms,9.30 ms,9.55 ms,10.14 ms,0.21 ms,199991/200000 (100%)
Rome,Venice,isls,telesat,1015,355,357,7.11 ms,7.11 ms,13.73 ms,14.22 ms,15.40 ms,0.38 ms,199986/200000 (100%),kuiper,630,1160,1162,4.58 ms,4.58 ms,8.66 ms,9.17 ms,10.47 ms,0.50 ms,199992/200000 (100%),starlink,550.0,1588.0,1590.0,3.69 ms,3.69 ms,6.95 ms,7.37 ms,8.39 ms,0.37 ms,199992/200000 (100%)
Frankfurt,Munich,isls,telesat,1015,351,352,7.19 ms,7.19 ms,13.81 ms,14.37 ms,16.44 ms,0.67 ms,199986/200000 (100%),kuiper,630,1156,1157,4.55 ms,4.55 ms,8.81 ms,9.11 ms,9.84 ms,0.28 ms,199992/200000 (100%),starlink,550.0,1584.0,1585.0,3.79 ms,3.79 ms,7.19 ms,7.57 ms,8.37 ms,0.33 ms,199993/200000 (100%)
