abbreviation_source,abbreviation_destination,min,avg,max,mdev,Distance,Expected_Latency,min_global
Bar,Bog,171.61120833333334,171.90904166666667,172.96716666666669,0.49141666666666667,8523.67169119546,85.23671691195462,171.411
Bar,Cai,82.06133333333334,83.21108333333333,88.25491666666666,1.3565833333333333,2891.1993286418715,28.911993286418717,81.757
Bar,LA,153.6101666666667,153.92945833333334,154.26404166666666,0.4121666666666666,9653.684750877452,96.53684750877453,153.472
Bar,Mad,9.077250000000001,9.312708333333333,9.760583333333333,0.186625,503.94949011775947,5.039494901177595,8.986
Bar,Mx,151.47029166666667,151.75475,153.19679166666666,0.5593333333333333,9489.102840128575,94.89102840128574,149.91
Bar,NY,98.19658333333332,98.44212499999999,98.88016666666665,0.325375,6138.515434637303,61.38515434637302,98.141
Bar,Riy,95.01129166666668,96.53641666666665,101.85304166666667,1.5869166666666665,4491.604771960388,44.916047719603874,94.861
Bar,Syd,245.18550000000002,245.45704166666667,246.06912499999999,0.578,17180.445439004,171.80445439003998,245.099
Bar,Tok,212.79241666666667,213.09745833333332,214.69320833333333,0.6159583333333333,10417.899263923953,104.17899263923954,212.684
Bog,Bar,171.626125,171.9126666666667,172.845375,0.45975000000000005,8523.67169119546,85.23671691195462,171.374
Bog,Cai,200.93733333333333,201.95479166666667,206.12404166666667,1.192625,11209.431157384146,112.09431157384144,200.644
Bog,LA,108.77404166666668,109.07529166666666,109.92616666666667,0.40162499999999995,5605.3414104866,56.053414104866,105.355
Bog,Mad,169.39425,169.559125,170.36929166666667,0.4809583333333333,8021.631926120888,80.21631926120888,168.971
Bog,Mx,117.93599999999999,118.19958333333334,119.99991666666666,0.5514583333333334,3177.3250042788545,31.773250042788547,116.178
Bog,NY,95.51400000000001,96.55345833333332,103.21529166666666,2.0269583333333334,4017.56497757529,40.1756497757529,92.851
Bog,Riy,232.41029166666667,233.983125,239.503375,1.7109583333333334,12842.442572738297,128.42442572738295,232.085
Bog,Syd,278.26931818181816,278.4377272727273,279.1649545454545,0.5563181818181818,14325.137379627362,143.25137379627364,278.128
Bog,Tok,244.56429166666666,244.782375,246.56604166666668,0.7070833333333333,14314.540668297313,143.14540668297315,244.49
Cai,Bar,82.16716666666666,83.307625,87.68183333333333,1.203625,2891.1993286418715,28.911993286418717,81.915
Cai,Bog,200.86675,201.80229166666666,204.68270833333335,0.9587499999999999,11209.431157384146,112.09431157384144,200.43
