constellation,origin,destination,origin_name,destination_name,satellites,satellites_distance
telesat,351,358,Frankfurt,Helsinki,1.0,2782.3416666666667
telesat,351,359,Frankfurt,Moscow,1.0,3250.6788125000003
telesat,352,355,Munich,Rome,1.0,2297.081125
telesat,355,357,Rome,Venice,1.0,2230.7953125
telesat,352,354,Munich,London,1.0,2541.1739687500003
telesat,351,353,Frankfurt,Amsterdam,1.0,2327.886875
telesat,351,352,Frankfurt,Munich,1.0,2280.0125937499997
telesat,353,356,Amsterdam,Barcelona,1.0,2969.650875
telesat,354,357,London,Venice,1.0,2671.1414999999997
telesat,353,355,Amsterdam,Rome,1.0,2478.22425
telesat,355,358,Rome,Helsinki,1.0,3037.15365625
telesat,356,357,Barcelona,Venice,1.0,2507.9811250000002
telesat,356,358,Barcelona,Helsinki,1.0,3511.2752499999997
telesat,353,357,Amsterdam,Venice,1.0,2490.724625
telesat,353,354,Amsterdam,London,1.0,2526.431958333333
telesat,357,358,Venice,Helsinki,1.0,3048.49384375
telesat,351,357,Frankfurt,Venice,1.0,2359.614708333333
telesat,355,359,Rome,Moscow,1.0,3417.6890499999995
telesat,352,356,Munich,Barcelona,1.0,2574.5780624999998
telesat,351,356,Frankfurt,Barcelona,1.0,2682.4106874999998
telesat,356,359,Barcelona,Moscow,1.0,3934.38975
telesat,351,355,Frankfurt,Rome,1.0,2398.0983125000002
telesat,354,355,London,Rome,1.0,2658.5594375
telesat,352,353,Munich,Amsterdam,1.0,2360.11546875
telesat,353,358,Amsterdam,Helsinki,1.0,2796.4347083333328
telesat,352,359,Munich,Moscow,1.0,3339.033890625
telesat,353,359,Amsterdam,Moscow,1.0,3274.326375
telesat,354,358,London,Helsinki,1.0,3032.91546875
telesat,358,359,Helsinki,Moscow,1.0,2695.4625416666668
telesat,352,358,Munich,Helsinki,1.0,2928.8534999999997
telesat,354,356,London,Barcelona,1.0,2923.034875
telesat,351,354,Frankfurt,London,1.0,2506.3161250000003
telesat,355,356,Rome,Barcelona,1.0,2505.2603125
telesat,357,359,Venice,Moscow,1.0,3410.1318250000004
telesat,354,359,London,Moscow,1.0,3559.9678125
telesat,352,357,Munich,Venice,1.0,2299.8078125
starlink,1584,1590,Frankfurt,Venice,1.0,1262.4139479166668
starlink,1590,1591,Venice,Helsinki,1.7777777777777777,2702.377211562116
starlink,1584,1592,Frankfurt,Moscow,2.0,2608.3431189078874
starlink,1585,1588,Munich,Rome,1.0,1151.0861302083333
starlink,1589,1591,Barcelona,Helsinki,2.5,4736.99988689382
starlink,1585,1592,Munich,Moscow,2.0,2561.340176606272
starlink,1584,1591,Frankfurt,Helsinki,1.5,2153.2011895569926
starlink,1587,1591,London,Helsinki,2.0,2812.367268061052
starlink,1584,1586,Frankfurt,Amsterdam,1.0,1144.2966473214285
starlink,1586,1587,Amsterdam,London,1.0,1131.6774285714287
starlink,1585,1589,Munich,Barcelona,1.0,1566.8729843749998
starlink,1589,1592,Barcelona,Moscow,2.2,3782.4969134891517
starlink,1585,1587,Munich,London,1.0,1460.2772083333336
starlink,1584,1585,Frankfurt,Munich,1.0,1177.59140625
starlink,1588,1592,Rome,Moscow,2.0,2717.3699290311642
starlink,1590,1592,Venice,Moscow,2.0,2699.7061858102093
starlink,1587,1592,London,Moscow,2.0,3199.3138592915457
starlink,1585,1590,Munich,Venice,1.0,1153.6212760416668
starlink,1586,1589,Amsterdam,Barcelona,1.0,1689.12175
starlink,1586,1588,Amsterdam,Rome,1.0,1465.7455875
starlink,1591,1592,Helsinki,Moscow,1.2857142857142858,2068.894620376964
starlink,1587,1588,London,Rome,1.0,1583.5552291666665
starlink,1585,1591,Munich,Helsinki,1.5,2163.044990142022
starlink,1586,1591,Amsterdam,Helsinki,1.625,2444.1452860917843
starlink,1585,1586,Munich,Amsterdam,1.0,1295.368107142857
starlink,1584,1589,Frankfurt,Barcelona,1.0,1584.62434375
starlink,1588,1589,Rome,Barcelona,1.0,1482.45934375
starlink,1588,1591,Rome,Helsinki,1.625,2533.1207168149763
starlink,1589,1590,Barcelona,Venice,1.0,1507.15846875
starlink,1584,1587,Frankfurt,London,1.0,1269.24653125
starlink,1586,1592,Amsterdam,Moscow,2.0,2770.9818374490933
starlink,1586,1590,Amsterdam,Venice,1.0,1492.3834874999998
starlink,1588,1590,Rome,Venice,1.0,1158.0750624999998
starlink,1584,1588,Frankfurt,Rome,1.0,1248.6931354166666
starlink,1587,1590,London,Venice,1.0,1619.3968750000001
starlink,1587,1589,London,Barcelona,1.0,1615.2741517857141
kuiper,1159,1163,London,Helsinki,2.0,2632.24366438128
kuiper,1160,1162,Rome,Venice,1.0,1401.0905312500001
kuiper,1160,1164,Rome,Moscow,2.0,2984.8751587110187
kuiper,1157,1164,Munich,Moscow,1.5714285714285714,2637.0052454130046
kuiper,1160,1161,Rome,Barcelona,1.0,1671.54746875
kuiper,1161,1164,Barcelona,Moscow,2.75,4049.8676554706162
kuiper,1162,1164,Venice,Moscow,2.0,2971.5774899017097
kuiper,1163,1164,Helsinki,Moscow,1.3333333333333333,2312.214727835685
kuiper,1158,1161,Amsterdam,Barcelona,1.0,1970.1154910714286
kuiper,1156,1158,Frankfurt,Amsterdam,1.0,1381.8578124999997
kuiper,1157,1161,Munich,Barcelona,1.0,1761.4798541666667
kuiper,1159,1164,London,Moscow,2.3636363636363638,3533.2187553742992
kuiper,1157,1159,Munich,London,1.0,1638.0897589285712
kuiper,1156,1163,Frankfurt,Helsinki,1.4,2053.374555349575
kuiper,1158,1159,Amsterdam,London,1.0,1388.042151785714
kuiper,1156,1159,Frankfurt,London,1.0,1475.633544642857
kuiper,1156,1164,Frankfurt,Moscow,1.8,2814.872470675408
kuiper,1159,1161,London,Barcelona,1.0,1946.2738020833333
kuiper,1160,1163,Rome,Helsinki,1.5,2347.920265316392
kuiper,1157,1160,Munich,Rome,1.0,1521.93140625
kuiper,1157,1158,Munich,Amsterdam,1.0,1502.3385892857145
kuiper,1159,1162,London,Venice,1.0,1810.5262500000001
kuiper,1156,1162,Frankfurt,Venice,1.0,1552.6486071428571
kuiper,1156,1157,Frankfurt,Munich,1.0,1398.4057321428572
kuiper,1159,1160,London,Rome,1.0,1776.9886125
kuiper,1157,1163,Munich,Helsinki,1.5,2222.3979568228197
kuiper,1161,1163,Barcelona,Helsinki,2.7,3803.9073103669084
kuiper,1161,1162,Barcelona,Venice,1.0,1702.984890625
kuiper,1158,1164,Amsterdam,Moscow,2.0,3310.8073281698325
kuiper,1162,1163,Venice,Helsinki,1.5,2347.0156580782823
kuiper,1157,1162,Munich,Venice,1.0,1578.163625
kuiper,1156,1161,Frankfurt,Barcelona,1.0,1811.1906458333333
kuiper,1158,1163,Amsterdam,Helsinki,1.625,2433.5656348285975
kuiper,1158,1162,Amsterdam,Venice,1.0,1679.3655357142857
kuiper,1156,1160,Frankfurt,Rome,1.0,1533.4531607142856
kuiper,1158,1160,Amsterdam,Rome,1.0,1652.7987053571428
