constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
telesat,1015,isls,351,355,Cairo,Beirut,8.64 ms,8.64 ms,16.12 ms,17.29 ms,20.53 ms,1.27 ms,199980/200000 (100%)
telesat,1015,isls,353,357,Jerusalem,Izmir,8.76 ms,8.76 ms,16.64 ms,17.52 ms,19.83 ms,0.91 ms,199983/200000 (100%)
telesat,1015,isls,355,358,Beirut,Athens,8.81 ms,8.81 ms,16.44 ms,17.63 ms,20.03 ms,1.21 ms,199983/200000 (100%)
kuiper,630,isls,1160,1164,Beirut,Tunis,11.27 ms,11.27 ms,20.92 ms,22.54 ms,25.51 ms,0.79 ms,199978/200000 (100%)
telesat,1015,isls,354,356,Limassol,Ankara,8.72 ms,8.72 ms,16.79 ms,17.45 ms,18.83 ms,0.59 ms,199983/200000 (100%)
kuiper,630,isls,1157,1159,TelAviv,Limassol,5.00 ms,5.00 ms,8.93 ms,9.99 ms,12.01 ms,0.94 ms,199991/200000 (100%)
starlink,550,isls,1585,1586,TelAviv,Jerusalem,3.78 ms,3.78 ms,7.13 ms,7.55 ms,8.37 ms,0.33 ms,199993/200000 (100%)
telesat,1015,isls,352,359,TelAviv,Tunis,11.42 ms,11.42 ms,22.14 ms,22.85 ms,24.80 ms,0.71 ms,199977/200000 (100%)
telesat,1015,isls,357,358,Izmir,Athens,7.50 ms,7.50 ms,13.77 ms,14.99 ms,16.34 ms,0.73 ms,199987/200000 (100%)
telesat,1015,isls,358,359,Athens,Tunis,9.02 ms,9.02 ms,17.29 ms,18.04 ms,19.81 ms,0.68 ms,199981/200000 (100%)
telesat,1015,isls,351,353,Cairo,Jerusalem,8.60 ms,8.60 ms,15.21 ms,17.20 ms,20.78 ms,1.67 ms,199980/200000 (100%)
starlink,550,isls,1587,1592,Limassol,Tunis,10.91 ms,10.91 ms,20.25 ms,21.82 ms,31.66 ms,3.08 ms,199979/200000 (100%)
starlink,550,isls,1585,1590,TelAviv,Izmir,5.06 ms,5.06 ms,9.72 ms,10.11 ms,10.83 ms,0.28 ms,199991/200000 (100%)
kuiper,630,isls,1157,1164,TelAviv,Tunis,11.42 ms,11.42 ms,20.96 ms,22.84 ms,25.35 ms,0.88 ms,199978/200000 (100%)
kuiper,630,isls,1161,1163,Ankara,Athens,5.48 ms,5.48 ms,10.26 ms,10.97 ms,12.25 ms,0.55 ms,199990/200000 (100%)
telesat,1015,isls,353,354,Jerusalem,Limassol,8.75 ms,8.75 ms,16.69 ms,17.50 ms,19.79 ms,0.81 ms,199981/200000 (100%)
kuiper,630,isls,1156,1160,Cairo,Beirut,4.98 ms,4.98 ms,9.42 ms,9.96 ms,11.04 ms,0.41 ms,199990/200000 (100%)
telesat,1015,isls,353,359,Jerusalem,Tunis,11.54 ms,11.54 ms,22.43 ms,23.07 ms,24.86 ms,0.64 ms,199977/200000 (100%)
kuiper,630,isls,1160,1162,Beirut,Izmir,5.44 ms,5.44 ms,10.58 ms,10.88 ms,11.58 ms,0.24 ms,199990/200000 (100%)
telesat,1015,isls,355,356,Beirut,Ankara,9.06 ms,9.06 ms,16.88 ms,18.11 ms,19.30 ms,0.52 ms,199983/200000 (100%)
starlink,550,isls,1584,1585,Cairo,TelAviv,3.99 ms,3.99 ms,7.38 ms,7.98 ms,8.88 ms,0.41 ms,199992/200000 (100%)
kuiper,630,isls,1157,1158,TelAviv,Jerusalem,4.65 ms,4.65 ms,8.44 ms,9.31 ms,10.77 ms,0.71 ms,199992/200000 (100%)
telesat,1015,isls,356,359,Ankara,Tunis,10.66 ms,10.66 ms,20.91 ms,21.31 ms,22.03 ms,0.31 ms,199979/200000 (100%)
kuiper,630,isls,1159,1162,Limassol,Izmir,5.02 ms,5.02 ms,9.65 ms,10.05 ms,10.76 ms,0.29 ms,199991/200000 (100%)
starlink,550,isls,1589,1591,Ankara,Athens,4.58 ms,4.58 ms,8.91 ms,9.15 ms,9.66 ms,0.19 ms,199991/200000 (100%)
starlink,550,isls,1587,1588,Limassol,Beirut,3.95 ms,3.95 ms,7.09 ms,7.90 ms,8.84 ms,0.60 ms,199993/200000 (100%)
telesat,1015,isls,357,359,Izmir,Tunis,9.51 ms,9.51 ms,18.36 ms,19.02 ms,20.02 ms,0.56 ms,199981/200000 (100%)
kuiper,630,isls,1156,1162,Cairo,Izmir,5.90 ms,5.90 ms,11.10 ms,11.80 ms,13.33 ms,0.64 ms,199989/200000 (100%)
starlink,550,isls,1586,1588,Jerusalem,Beirut,3.89 ms,3.89 ms,7.16 ms,7.77 ms,8.81 ms,0.41 ms,199993/200000 (100%)
kuiper,630,isls,1156,1163,Cairo,Athens,6.12 ms,6.12 ms,11.53 ms,12.23 ms,15.19 ms,0.72 ms,199988/200000 (100%)
kuiper,630,isls,1157,1160,TelAviv,Beirut,4.77 ms,4.77 ms,8.56 ms,9.53 ms,11.57 ms,0.89 ms,199992/200000 (100%)
starlink,550,isls,1586,1592,Jerusalem,Tunis,11.82 ms,11.82 ms,20.97 ms,23.64 ms,33.55 ms,4.09 ms,199968/200000 (100%)
telesat,1015,isls,351,356,Cairo,Ankara,8.94 ms,8.94 ms,17.20 ms,17.88 ms,19.54 ms,0.64 ms,199982/200000 (100%)
telesat,1015,isls,351,357,Cairo,Izmir,8.24 ms,8.24 ms,15.73 ms,16.48 ms,18.49 ms,0.72 ms,199983/200000 (100%)
telesat,1015,isls,354,358,Limassol,Athens,8.31 ms,8.31 ms,15.36 ms,16.62 ms,18.65 ms,1.18 ms,199985/200000 (100%)
telesat,1015,isls,356,358,Ankara,Athens,8.42 ms,8.42 ms,15.20 ms,16.84 ms,18.49 ms,1.01 ms,199985/200000 (100%)
starlink,550,isls,1589,1592,Ankara,Tunis,10.41 ms,10.41 ms,19.37 ms,20.82 ms,27.81 ms,1.09 ms,199981/200000 (100%)
telesat,1015,isls,354,357,Limassol,Izmir,8.34 ms,8.34 ms,15.30 ms,16.68 ms,19.26 ms,1.39 ms,199985/200000 (100%)
kuiper,630,isls,1161,1162,Ankara,Izmir,5.00 ms,5.00 ms,9.19 ms,10.00 ms,11.34 ms,0.59 ms,199991/200000 (100%)
kuiper,630,isls,1158,1162,Jerusalem,Izmir,5.87 ms,5.87 ms,11.27 ms,11.73 ms,12.66 ms,0.36 ms,199989/200000 (100%)
kuiper,630,isls,1159,1160,Limassol,Beirut,4.90 ms,4.90 ms,8.81 ms,9.79 ms,11.82 ms,0.88 ms,199992/200000 (100%)
starlink,550,isls,1585,1591,TelAviv,Athens,5.55 ms,5.55 ms,10.80 ms,11.10 ms,12.62 ms,0.43 ms,199990/200000 (100%)
telesat,1015,isls,352,353,TelAviv,Jerusalem,8.88 ms,8.88 ms,16.21 ms,17.77 ms,19.26 ms,0.91 ms,199981/200000 (100%)
starlink,550,isls,1588,1592,Beirut,Tunis,11.70 ms,11.70 ms,21.44 ms,23.39 ms,32.53 ms,3.77 ms,199968/200000 (100%)
starlink,550,isls,1588,1589,Beirut,Ankara,4.64 ms,4.64 ms,8.46 ms,9.27 ms,10.20 ms,0.37 ms,199991/200000 (100%)
telesat,1015,isls,353,358,Jerusalem,Athens,8.82 ms,8.82 ms,16.73 ms,17.63 ms,20.18 ms,0.96 ms,199983/200000 (100%)
starlink,550,isls,1584,1591,Cairo,Athens,5.31 ms,5.31 ms,10.42 ms,10.63 ms,11.17 ms,0.19 ms,199990/200000 (100%)
starlink,550,isls,1585,1588,TelAviv,Beirut,3.88 ms,3.88 ms,7.05 ms,7.76 ms,8.77 ms,0.43 ms,199993/200000 (100%)
telesat,1015,isls,354,355,Limassol,Beirut,8.79 ms,8.79 ms,16.81 ms,17.58 ms,19.12 ms,0.65 ms,199981/200000 (100%)
kuiper,630,isls,1158,1159,Jerusalem,Limassol,5.00 ms,5.00 ms,8.96 ms,9.99 ms,11.95 ms,0.92 ms,199991/200000 (100%)
kuiper,630,isls,1158,1160,Jerusalem,Beirut,4.75 ms,4.75 ms,8.59 ms,9.51 ms,11.47 ms,0.85 ms,199992/200000 (100%)
starlink,550,isls,1590,1591,Izmir,Athens,4.00 ms,4.00 ms,7.17 ms,8.00 ms,9.26 ms,0.60 ms,199992/200000 (100%)
starlink,550,isls,1585,1587,TelAviv,Limassol,3.96 ms,3.96 ms,7.21 ms,7.92 ms,8.81 ms,0.46 ms,199993/200000 (100%)
kuiper,630,isls,1160,1163,Beirut,Athens,6.05 ms,6.05 ms,11.67 ms,12.09 ms,12.85 ms,0.33 ms,199989/200000 (100%)
starlink,550,isls,1587,1589,Limassol,Ankara,4.51 ms,4.51 ms,8.24 ms,9.02 ms,10.01 ms,0.52 ms,199992/200000 (100%)
starlink,550,isls,1584,1586,Cairo,Jerusalem,3.99 ms,3.99 ms,7.44 ms,7.98 ms,8.82 ms,0.36 ms,199992/200000 (100%)
kuiper,630,isls,1158,1163,Jerusalem,Athens,6.39 ms,6.39 ms,12.20 ms,12.79 ms,13.99 ms,0.50 ms,199988/200000 (100%)
starlink,550,isls,1588,1591,Beirut,Athens,5.45 ms,5.45 ms,10.59 ms,10.90 ms,13.16 ms,0.55 ms,199990/200000 (100%)
telesat,1015,isls,356,357,Ankara,Izmir,8.54 ms,8.54 ms,15.20 ms,17.09 ms,18.93 ms,1.25 ms,199985/200000 (100%)
telesat,1015,isls,352,354,TelAviv,Limassol,8.66 ms,8.66 ms,16.50 ms,17.31 ms,19.50 ms,0.78 ms,199981/200000 (100%)
kuiper,630,isls,1161,1164,Ankara,Tunis,10.35 ms,10.35 ms,18.94 ms,20.70 ms,24.06 ms,1.20 ms,199980/200000 (100%)
starlink,550,isls,1586,1589,Jerusalem,Ankara,5.02 ms,5.02 ms,9.58 ms,10.03 ms,11.20 ms,0.42 ms,199991/200000 (100%)
