origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
Rome,Barcelona,isls,telesat,1015,355,356,7.95 ms,7.95 ms,15.12 ms,15.90 ms,16.82 ms,0.43 ms,199985/200000 (100%),kuiper,630,1160,1161,5.48 ms,5.48 ms,10.68 ms,10.97 ms,11.39 ms,0.20 ms,199990/200000 (100%),starlink,550.0,1588.0,1589.0,4.84 ms,4.84 ms,9.35 ms,9.68 ms,10.42 ms,0.31 ms,199991/200000 (100%),Italy,Spain,"24,80725","25,1815833333333","25,8305833333333",294,"859,771326363021","8,59771326363021",1.0,2505.2603125,1.0,1671.54746875,1.0,1482.45934375
Barcelona,Moscow,isls,telesat,1015,356,359,13.15 ms,13.15 ms,26.04 ms,26.30 ms,27.02 ms,0.24 ms,199973/200000 (100%),kuiper,630,1161,1164,13.64 ms,13.64 ms,24.36 ms,27.28 ms,29.12 ms,1.62 ms,199972/200000 (100%),starlink,550.0,1589.0,1592.0,12.31 ms,12.31 ms,24.23 ms,24.63 ms,31.35 ms,0.54 ms,199976/200000 (100%),Spain,Russia,"62,7261666666667","62,9764166666667","63,3890416666667","0,298333333333333","3009,84801345192","30,0984801345192",1.0,3934.38975,2.75,4049.867655470616,2.2,3782.496913489152
Venice,Moscow,isls,telesat,1015,357,359,11.39 ms,11.39 ms,21.18 ms,22.77 ms,23.83 ms,0.71 ms,199979/200000 (100%),kuiper,630,1162,1164,9.90 ms,9.90 ms,17.31 ms,19.79 ms,21.97 ms,1.54 ms,199980/200000 (100%),starlink,550.0,1590.0,1592.0,9.02 ms,9.02 ms,16.85 ms,18.04 ms,23.86 ms,1.00 ms,199983/200000 (100%),Italy,Russia,"65,0824782608696","68,9144782608696","95,651347826087","6,55404347826087","2074,46722050642","20,7446722050642",1.0,3410.1318250000004,2.0,2971.5774899017097,2.0,2699.7061858102093
Frankfurt,Barcelona,isls,telesat,1015,351,356,8.48 ms,8.48 ms,16.17 ms,16.96 ms,19.24 ms,0.84 ms,199984/200000 (100%),kuiper,630,1156,1161,5.92 ms,5.92 ms,11.41 ms,11.85 ms,12.94 ms,0.44 ms,199988/200000 (100%),starlink,550.0,1584.0,1589.0,5.20 ms,5.20 ms,10.22 ms,10.41 ms,10.74 ms,0.13 ms,199990/200000 (100%),Germany,Spain,"24,6446666666667","24,8995416666667","25,4340833333333","0,22475","1093,49563605368","10,9349563605368",1.0,2682.4106875,1.0,1811.1906458333333,1.0,1584.62434375
Frankfurt,Venice,isls,telesat,1015,351,357,7.63 ms,7.63 ms,14.31 ms,15.26 ms,17.81 ms,0.93 ms,199984/200000 (100%),kuiper,630,1156,1162,5.00 ms,5.00 ms,9.42 ms,9.99 ms,11.27 ms,0.55 ms,199991/200000 (100%),starlink,550.0,1584.0,1590.0,4.14 ms,4.14 ms,7.98 ms,8.29 ms,8.84 ms,0.24 ms,199992/200000 (100%),Germany,Italy,"32,1116666666667","37,0049166666667","75,348875","9,08045833333333","571,869509705548","5,71869509705548",1.0,2359.614708333333,1.0,1552.6486071428571,1.0,1262.4139479166668
London,Helsinki,isls,telesat,1015,354,358,10.02 ms,10.02 ms,19.25 ms,20.05 ms,21.00 ms,0.49 ms,199981/200000 (100%),kuiper,630,1159,1163,11.06 ms,11.06 ms,21.12 ms,22.11 ms,32.71 ms,1.19 ms,173967/200000 (87%),starlink,550.0,1587.0,1591.0,9.79 ms,9.79 ms,16.80 ms,19.58 ms,23.02 ms,1.43 ms,199983/200000 (100%),United Kingdom,Finland,"29,7707083333333","30,3359583333333","34,0240833333333","0,894333333333333","1806,2934264951","18,062934264951",1.0,3032.91546875,2.0,2632.24366438128,2.0,2812.367268061052
Barcelona,Helsinki,isls,telesat,1015,356,358,11.63 ms,11.63 ms,23.15 ms,23.27 ms,23.45 ms,0.08 ms,199977/200000 (100%),kuiper,630,1161,1163,13.81 ms,13.81 ms,24.02 ms,27.63 ms,39.48 ms,3.00 ms,173954/200000 (87%),starlink,550.0,1589.0,1591.0,13.82 ms,13.82 ms,25.41 ms,27.64 ms,47.79 ms,5.32 ms,199974/200000 (100%),Spain,Finland,"50,2242083333333","50,6145833333333","54,250625","0,877708333333333","2595,40355419758","25,9540355419758",1.0,3511.27525,2.7,3803.907310366909,2.5,4736.99988689382
London,Venice,isls,telesat,1015,354,357,8.45 ms,8.45 ms,16.11 ms,16.91 ms,19.45 ms,0.92 ms,199984/200000 (100%),kuiper,630,1159,1162,5.95 ms,5.95 ms,11.63 ms,11.90 ms,12.53 ms,0.26 ms,199988/200000 (100%),starlink,550.0,1587.0,1590.0,5.35 ms,5.35 ms,10.47 ms,10.69 ms,11.09 ms,0.16 ms,199990/200000 (100%),United Kingdom,Italy,31554,"36,9039583333333","68,9717083333333","7,90354166666667","1132,12636533776","11,3212636533776",1.0,2671.1415,1.0,1810.52625,1.0,1619.396875
Munich,Amsterdam,isls,telesat,1015,352,353,7.45 ms,7.45 ms,14.46 ms,14.90 ms,16.49 ms,0.48 ms,199986/200000 (100%),kuiper,630,1157,1158,4.94 ms,4.94 ms,9.69 ms,9.88 ms,10.37 ms,0.16 ms,199991/200000 (100%),starlink,550.0,1585.0,1586.0,4.28 ms,4.28 ms,8.31 ms,8.55 ms,8.93 ms,0.14 ms,199992/200000 (100%),Germany,Netherlands,"14,7692916666667","15,1076666666667","16,8250416666667","0,432291666666667","672,787548607672","6,72787548607672",1.0,2360.11546875,1.0,1502.3385892857143,1.0,1295.368107142857
Amsterdam,Helsinki,isls,telesat,1015,353,358,9.28 ms,9.28 ms,17.70 ms,18.55 ms,20.18 ms,0.77 ms,199981/200000 (100%),kuiper,630,1158,1163,9.48 ms,9.48 ms,15.57 ms,18.95 ms,31.01 ms,2.64 ms,173972/200000 (87%),starlink,550.0,1586.0,1591.0,8.25 ms,8.26 ms,13.89 ms,16.51 ms,22.95 ms,1.52 ms,199986/200000 (100%),Netherlands,Finland,"30,8645416666667","32,3186666666667","37,507625","1,65458333333333","1504,80042959382","15,0480042959382",1.0,2796.4347083333328,1.625,2433.565634828597,1.625,2444.1452860917843
