constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
telesat,1015,isls,358,360,Cairo,Sidney,62.13 ms,62.13 ms,117.98 ms,124.26 ms,125.93 ms,1.08 ms,199876/200000 (100%)
kuiper,630,isls,1159,1156,Los-Angeles,Madrid,36.77 ms,36.77 ms,72.63 ms,73.54 ms,78.59 ms,1.29 ms,199927/200000 (100%)
telesat,1015,isls,358,357,Cairo,Bogota,45.35 ms,45.35 ms,88.97 ms,90.70 ms,93.20 ms,0.92 ms,199911/200000 (100%)
kuiper,630,isls,1161,1163,Mexico-City,Cairo,48.52 ms,48.53 ms,93.52 ms,97.05 ms,99.29 ms,1.45 ms,199903/200000 (100%)
telesat,1015,isls,359,356,Tokyo,Mexico-City,42.88 ms,42.88 ms,85.41 ms,85.76 ms,86.57 ms,0.35 ms,199915/200000 (100%)
telesat,1015,isls,353,354,Riyadh,Los-Angeles,48.87 ms,48.87 ms,96.75 ms,97.73 ms,99.16 ms,0.87 ms,199903/200000 (100%)
kuiper,630,isls,1156,1160,Madrid,New-York,24.19 ms,24.19 ms,47.60 ms,48.38 ms,50.44 ms,0.34 ms,199952/200000 (100%)
starlink,550,isls,1585,1584,Barcelona,Madrid,4.03 ms,4.03 ms,7.69 ms,8.07 ms,8.83 ms,0.30 ms,199992/200000 (100%)
telesat,1015,isls,353,359,Riyadh,Tokyo,31.44 ms,31.44 ms,62.72 ms,62.88 ms,63.12 ms,0.11 ms,199938/200000 (100%)
kuiper,630,isls,1163,1161,Cairo,Mexico-City,48.53 ms,48.52 ms,93.52 ms,97.05 ms,99.38 ms,1.45 ms,199903/200000 (100%)
kuiper,630,isls,1160,1162,New-York,Bogota,27.72 ms,27.72 ms,47.18 ms,55.44 ms,59.10 ms,1.18 ms,199953/200000 (100%)
telesat,1015,isls,355,356,New-York,Mexico-City,14.22 ms,14.22 ms,27.64 ms,28.44 ms,30.28 ms,0.78 ms,199973/200000 (100%)
starlink,550,isls,1584,1585,Madrid,Barcelona,4.03 ms,4.03 ms,7.69 ms,8.07 ms,8.83 ms,0.30 ms,199992/200000 (100%)
starlink,550,isls,1592,1591,Tokyo,Cairo,37.86 ms,37.86 ms,72.91 ms,75.73 ms,83.62 ms,0.54 ms,199925/200000 (100%)
kuiper,630,isls,1157,1158,Barcelona,Riyadh,19.18 ms,19.18 ms,35.38 ms,38.36 ms,40.31 ms,0.94 ms,199962/200000 (100%)
telesat,1015,isls,353,360,Riyadh,Sidney,51.77 ms,51.77 ms,94.89 ms,103.55 ms,105.33 ms,2.62 ms,199895/200000 (100%)
telesat,1015,isls,356,359,Mexico-City,Tokyo,42.88 ms,42.88 ms,85.41 ms,85.76 ms,86.57 ms,0.35 ms,199915/200000 (100%)
kuiper,630,isls,1164,1165,Tokyo,Sidney,47.30 ms,47.30 ms,89.82 ms,94.61 ms,97.46 ms,2.38 ms,199905/200000 (100%)
kuiper,630,isls,1159,1162,Los-Angeles,Bogota,23.97 ms,23.97 ms,46.68 ms,47.94 ms,49.52 ms,0.67 ms,199953/200000 (100%)
starlink,550,isls,1589,1591,Mexico-City,Cairo,47.93 ms,47.94 ms,91.71 ms,95.87 ms,102.47 ms,4.57 ms,199906/200000 (100%)
starlink,550,isls,1587,1588,Los-Angeles,New-York,22.13 ms,22.13 ms,34.94 ms,44.27 ms,47.61 ms,4.68 ms,199965/200000 (100%)
telesat,1015,isls,357,359,Bogota,Tokyo,56.06 ms,56.06 ms,111.12 ms,112.13 ms,112.62 ms,0.59 ms,199889/200000 (100%)
kuiper,630,isls,1156,1162,Madrid,Bogota,32.75 ms,32.74 ms,63.40 ms,65.49 ms,68.12 ms,1.43 ms,199935/200000 (100%)
starlink,550,isls,1588,1584,New-York,Madrid,25.68 ms,25.68 ms,49.31 ms,51.36 ms,59.33 ms,0.67 ms,199949/200000 (100%)
starlink,550,isls,1586,1588,Riyadh,New-York,39.54 ms,39.54 ms,77.54 ms,79.08 ms,88.37 ms,2.16 ms,199917/200000 (100%)
