constellation,height,type,origin,destination,origin_name,destination_name,Mean latency there,Mean latency back,Min. RTT,Mean RTT,Max. RTT,Smp.std. RTT,Reply arrival
telesat,1015,isls,352,358,Barcelona,Cairo,12.68 ms,12.68 ms,24.87 ms,25.36 ms,26.20 ms,0.41 ms,199974/200000 (100%)
telesat,1015,isls,359,358,Tokyo,Cairo,34.38 ms,34.38 ms,68.58 ms,68.76 ms,69.42 ms,0.20 ms,199932/200000 (100%)
telesat,1015,isls,351,358,Madrid,Cairo,14.11 ms,14.11 ms,27.77 ms,28.21 ms,29.15 ms,0.37 ms,199971/200000 (100%)
kuiper,630,isls,1159,1157,Los-Angeles,Barcelona,38.19 ms,38.19 ms,74.63 ms,76.38 ms,79.85 ms,2.15 ms,199925/200000 (100%)
kuiper,630,isls,1162,1164,Bogota,Tokyo,54.89 ms,54.89 ms,108.17 ms,109.78 ms,113.59 ms,2.10 ms,199892/200000 (100%)
telesat,1015,isls,352,355,Barcelona,New-York,23.16 ms,23.16 ms,46.05 ms,46.32 ms,47.12 ms,0.29 ms,199954/200000 (100%)
telesat,1015,isls,360,358,Sidney,Cairo,62.13 ms,62.13 ms,117.98 ms,124.26 ms,124.97 ms,1.08 ms,199876/200000 (100%)
starlink,550,isls,1588,1590,New-York,Bogota,33.15 ms,33.15 ms,65.22 ms,66.30 ms,68.90 ms,0.96 ms,199935/200000 (100%)
kuiper,630,isls,1162,1163,Bogota,Cairo,46.92 ms,46.92 ms,91.73 ms,93.83 ms,96.37 ms,1.64 ms,199908/200000 (100%)
kuiper,630,isls,1157,1156,Barcelona,Madrid,5.09 ms,5.09 ms,9.47 ms,10.18 ms,11.72 ms,0.62 ms,199991/200000 (100%)
telesat,1015,isls,360,356,Sidney,Mexico-City,52.05 ms,52.04 ms,94.52 ms,104.09 ms,107.88 ms,4.43 ms,199893/200000 (100%)
kuiper,630,isls,1156,1157,Madrid,Barcelona,5.09 ms,5.09 ms,9.47 ms,10.18 ms,11.72 ms,0.62 ms,199991/200000 (100%)
kuiper,630,isls,1163,1158,Cairo,Riyadh,7.98 ms,7.98 ms,14.22 ms,15.96 ms,20.00 ms,2.21 ms,199986/200000 (100%)
kuiper,630,isls,1164,1161,Tokyo,Mexico-City,44.30 ms,44.30 ms,85.34 ms,88.60 ms,90.64 ms,1.42 ms,199915/200000 (100%)
kuiper,630,isls,1165,1164,Sidney,Tokyo,47.30 ms,47.30 ms,89.82 ms,94.61 ms,97.46 ms,2.38 ms,199905/200000 (100%)
kuiper,630,isls,1165,1156,Sidney,Madrid,68.39 ms,68.39 ms,134.43 ms,136.78 ms,140.04 ms,2.10 ms,199861/200000 (100%)
telesat,1015,isls,352,357,Barcelona,Bogota,30.79 ms,30.79 ms,61.54 ms,61.57 ms,61.69 ms,0.03 ms,199939/200000 (100%)
kuiper,630,isls,1157,1162,Barcelona,Bogota,34.50 ms,34.50 ms,67.35 ms,69.00 ms,71.98 ms,1.12 ms,199932/200000 (100%)
kuiper,630,isls,1160,1156,New-York,Madrid,24.19 ms,24.19 ms,47.60 ms,48.38 ms,50.32 ms,0.34 ms,199952/200000 (100%)
starlink,550,isls,1586,1585,Riyadh,Barcelona,20.35 ms,20.34 ms,35.31 ms,40.69 ms,47.20 ms,3.81 ms,199955/200000 (100%)
starlink,550,isls,1592,1585,Tokyo,Barcelona,47.12 ms,47.12 ms,88.50 ms,94.24 ms,98.81 ms,3.41 ms,199902/200000 (100%)
telesat,1015,isls,360,355,Sidney,New-York,67.31 ms,67.31 ms,130.89 ms,134.62 ms,141.41 ms,2.32 ms,199868/200000 (100%)
kuiper,630,isls,1159,1161,Los-Angeles,Mexico-City,11.89 ms,11.89 ms,22.11 ms,23.77 ms,27.61 ms,2.20 ms,199978/200000 (100%)
kuiper,630,isls,1162,1165,Bogota,Sidney,58.19 ms,58.19 ms,111.24 ms,116.39 ms,117.74 ms,1.29 ms,199884/200000 (100%)
kuiper,630,isls,1164,1163,Tokyo,Cairo,38.37 ms,38.37 ms,74.25 ms,76.74 ms,79.82 ms,2.35 ms,199926/200000 (100%)
starlink,550,isls,1593,1585,Sidney,Barcelona,66.42 ms,66.41 ms,129.67 ms,132.83 ms,147.12 ms,4.93 ms,199871/200000 (100%)
starlink,550,isls,1586,1590,Riyadh,Bogota,71.64 ms,71.64 ms,142.05 ms,143.29 ms,154.07 ms,2.76 ms,199846/200000 (100%)
telesat,1015,isls,351,359,Madrid,Tokyo,39.57 ms,39.57 ms,76.47 ms,79.14 ms,87.42 ms,2.05 ms,199919/200000 (100%)
starlink,550,isls,1586,1591,Riyadh,Cairo,8.70 ms,8.70 ms,13.44 ms,17.39 ms,23.50 ms,2.29 ms,199983/200000 (100%)
starlink,550,isls,1591,1588,Cairo,New-York,35.26 ms,35.26 ms,66.76 ms,70.53 ms,83.08 ms,2.25 ms,199932/200000 (100%)
kuiper,630,isls,1161,1160,Mexico-City,New-York,14.97 ms,14.98 ms,28.88 ms,29.95 ms,35.45 ms,1.76 ms,199972/200000 (100%)
starlink,550,isls,1584,1588,Madrid,New-York,25.68 ms,25.68 ms,49.31 ms,51.36 ms,60.25 ms,0.67 ms,199949/200000 (100%)
kuiper,630,isls,1163,1156,Cairo,Madrid,15.20 ms,15.20 ms,28.70 ms,30.40 ms,33.01 ms,0.60 ms,199970/200000 (100%)
kuiper,630,isls,1165,1158,Sidney,Riyadh,52.11 ms,52.11 ms,102.15 ms,104.21 ms,108.60 ms,1.48 ms,199896/200000 (100%)
telesat,1015,isls,359,354,Tokyo,Los-Angeles,31.91 ms,31.91 ms,63.65 ms,63.82 ms,64.31 ms,0.18 ms,199937/200000 (100%)
starlink,550,isls,1591,1592,Cairo,Tokyo,37.86 ms,37.86 ms,73.30 ms,75.73 ms,83.23 ms,0.54 ms,199925/200000 (100%)
telesat,1015,isls,351,354,Madrid,Los-Angeles,33.75 ms,33.75 ms,67.31 ms,67.50 ms,67.82 ms,0.15 ms,199933/200000 (100%)
starlink,550,isls,1588,1587,New-York,Los-Angeles,22.13 ms,22.13 ms,34.94 ms,44.27 ms,47.61 ms,4.68 ms,199965/200000 (100%)
starlink,550,isls,1590,1587,Bogota,Los-Angeles,24.89 ms,24.89 ms,45.35 ms,49.78 ms,61.10 ms,5.51 ms,199941/200000 (100%)
telesat,1015,isls,355,354,New-York,Los-Angeles,16.04 ms,16.04 ms,31.42 ms,32.08 ms,32.82 ms,0.36 ms,199969/200000 (100%)
starlink,550,isls,1590,1588,Bogota,New-York,33.15 ms,33.15 ms,65.22 ms,66.30 ms,68.90 ms,0.96 ms,199935/200000 (100%)
telesat,1015,isls,356,353,Mexico-City,Riyadh,54.89 ms,54.88 ms,109.23 ms,109.77 ms,110.48 ms,0.35 ms,199890/200000 (100%)
starlink,550,isls,1584,1590,Madrid,Bogota,38.90 ms,38.90 ms,73.09 ms,77.80 ms,86.37 ms,5.61 ms,199922/200000 (100%)
starlink,550,isls,1584,1589,Madrid,Mexico-City,42.65 ms,42.65 ms,78.98 ms,85.29 ms,110.27 ms,8.19 ms,199908/200000 (100%)
kuiper,630,isls,1163,1162,Cairo,Bogota,46.92 ms,46.92 ms,91.73 ms,93.83 ms,96.37 ms,1.64 ms,199908/200000 (100%)
telesat,1015,isls,352,356,Barcelona,Mexico-City,34.21 ms,34.21 ms,68.09 ms,68.43 ms,75.55 ms,0.26 ms,199932/200000 (100%)
starlink,550,isls,1590,1593,Bogota,Sidney,59.24 ms,59.24 ms,108.23 ms,118.48 ms,127.51 ms,7.37 ms,199874/200000 (100%)
kuiper,630,isls,1159,1158,Los-Angeles,Riyadh,53.94 ms,53.94 ms,105.27 ms,107.88 ms,109.88 ms,1.58 ms,199892/200000 (100%)
kuiper,630,isls,1156,1165,Madrid,Sidney,68.39 ms,68.39 ms,134.43 ms,136.78 ms,140.04 ms,2.10 ms,199861/200000 (100%)
kuiper,630,isls,1160,1161,New-York,Mexico-City,14.98 ms,14.97 ms,28.88 ms,29.95 ms,35.84 ms,1.76 ms,199972/200000 (100%)
starlink,550,isls,1593,1587,Sidney,Los-Angeles,51.89 ms,51.90 ms,99.78 ms,103.79 ms,113.10 ms,5.14 ms,199887/200000 (100%)
kuiper,630,isls,1158,1164,Riyadh,Tokyo,36.12 ms,36.12 ms,71.25 ms,72.24 ms,77.22 ms,1.41 ms,199929/200000 (100%)
starlink,550,isls,1586,1587,Riyadh,Los-Angeles,62.51 ms,62.51 ms,122.91 ms,125.02 ms,129.37 ms,2.25 ms,199876/200000 (100%)
telesat,1015,isls,356,351,Mexico-City,Madrid,32.73 ms,32.73 ms,65.29 ms,65.47 ms,65.79 ms,0.15 ms,199935/200000 (100%)
telesat,1015,isls,359,352,Tokyo,Barcelona,37.32 ms,37.33 ms,74.27 ms,74.65 ms,82.38 ms,0.29 ms,199926/200000 (100%)
starlink,550,isls,1589,1593,Mexico-City,Sidney,68.47 ms,68.47 ms,130.62 ms,136.94 ms,145.36 ms,4.71 ms,199859/200000 (100%)
telesat,1015,isls,358,352,Cairo,Barcelona,12.68 ms,12.68 ms,24.87 ms,25.36 ms,26.20 ms,0.41 ms,199974/200000 (100%)
telesat,1015,isls,356,355,Mexico-City,New-York,14.22 ms,14.22 ms,27.64 ms,28.44 ms,30.28 ms,0.78 ms,199973/200000 (100%)
telesat,1015,isls,356,354,Mexico-City,Los-Angeles,11.74 ms,11.74 ms,22.79 ms,23.49 ms,24.27 ms,0.42 ms,199977/200000 (100%)
kuiper,630,isls,1156,1161,Madrid,Mexico-City,37.15 ms,37.15 ms,72.49 ms,74.31 ms,78.23 ms,1.10 ms,199926/200000 (100%)
kuiper,630,isls,1163,1165,Cairo,Sidney,58.31 ms,58.32 ms,115.62 ms,116.63 ms,120.19 ms,1.50 ms,199885/200000 (100%)
starlink,550,isls,1592,1588,Tokyo,New-York,51.79 ms,51.79 ms,99.80 ms,103.58 ms,110.60 ms,4.61 ms,199890/200000 (100%)
telesat,1015,isls,355,359,New-York,Tokyo,39.17 ms,39.17 ms,77.03 ms,78.33 ms,82.94 ms,1.57 ms,199920/200000 (100%)
kuiper,630,isls,1165,1162,Sidney,Bogota,58.19 ms,58.19 ms,111.24 ms,116.39 ms,117.74 ms,1.28 ms,199884/200000 (100%)
kuiper,630,isls,1164,1159,Tokyo,Los-Angeles,35.36 ms,35.36 ms,67.62 ms,70.71 ms,72.69 ms,1.80 ms,199933/200000 (100%)
starlink,550,isls,1589,1584,Mexico-City,Madrid,42.65 ms,42.65 ms,78.98 ms,85.29 ms,110.27 ms,8.19 ms,199908/200000 (100%)
kuiper,630,isls,1159,1163,Los-Angeles,Cairo,48.52 ms,48.52 ms,94.61 ms,97.04 ms,99.31 ms,1.91 ms,199902/200000 (100%)
starlink,550,isls,1591,1586,Cairo,Riyadh,8.70 ms,8.70 ms,13.44 ms,17.39 ms,22.80 ms,2.29 ms,199983/200000 (100%)
starlink,550,isls,1591,1585,Cairo,Barcelona,12.88 ms,12.88 ms,22.36 ms,25.75 ms,35.02 ms,2.27 ms,199978/200000 (100%)
kuiper,630,isls,1163,1157,Cairo,Barcelona,13.28 ms,13.28 ms,23.98 ms,26.57 ms,30.37 ms,1.69 ms,199973/200000 (100%)
kuiper,630,isls,1165,1160,Sidney,New-York,62.84 ms,62.84 ms,124.14 ms,125.69 ms,128.46 ms,1.14 ms,199875/200000 (100%)
starlink,550,isls,1585,1589,Barcelona,Mexico-City,38.66 ms,38.66 ms,75.12 ms,77.31 ms,85.42 ms,0.95 ms,199924/200000 (100%)
telesat,1015,isls,353,355,Riyadh,New-York,38.53 ms,38.53 ms,74.85 ms,77.06 ms,83.13 ms,2.38 ms,199925/200000 (100%)
kuiper,630,isls,1156,1158,Madrid,Riyadh,21.23 ms,21.24 ms,41.14 ms,42.47 ms,47.17 ms,1.13 ms,199958/200000 (100%)
telesat,1015,isls,355,357,New-York,Bogota,16.01 ms,16.01 ms,31.82 ms,32.03 ms,32.61 ms,0.23 ms,199968/200000 (100%)
kuiper,630,isls,1157,1161,Barcelona,Mexico-City,38.28 ms,38.28 ms,74.75 ms,76.56 ms,80.80 ms,2.00 ms,199926/200000 (100%)
telesat,1015,isls,356,352,Mexico-City,Barcelona,34.21 ms,34.21 ms,68.09 ms,68.43 ms,75.76 ms,0.26 ms,199932/200000 (100%)
telesat,1015,isls,355,353,New-York,Riyadh,38.53 ms,38.53 ms,74.85 ms,77.06 ms,85.80 ms,2.38 ms,199925/200000 (100%)
kuiper,630,isls,1156,1159,Madrid,Los-Angeles,36.77 ms,36.77 ms,72.63 ms,73.54 ms,78.79 ms,1.29 ms,199927/200000 (100%)
kuiper,630,isls,1163,1160,Cairo,New-York,35.63 ms,35.63 ms,68.12 ms,71.26 ms,73.03 ms,0.98 ms,199929/200000 (100%)
kuiper,630,isls,1163,1159,Cairo,Los-Angeles,48.52 ms,48.52 ms,94.61 ms,97.04 ms,99.47 ms,1.91 ms,199902/200000 (100%)
kuiper,630,isls,1161,1159,Mexico-City,Los-Angeles,11.89 ms,11.89 ms,22.11 ms,23.77 ms,27.61 ms,2.20 ms,199978/200000 (100%)
kuiper,630,isls,1162,1158,Bogota,Riyadh,53.86 ms,53.86 ms,105.47 ms,107.73 ms,109.99 ms,0.93 ms,199893/200000 (100%)
telesat,1015,isls,359,351,Tokyo,Madrid,39.57 ms,39.57 ms,76.47 ms,79.14 ms,87.03 ms,2.05 ms,199919/200000 (100%)
kuiper,630,isls,1161,1165,Mexico-City,Sidney,53.15 ms,53.15 ms,105.09 ms,106.31 ms,110.14 ms,1.52 ms,199895/200000 (100%)
starlink,550,isls,1589,1588,Mexico-City,New-York,14.26 ms,14.26 ms,25.77 ms,28.52 ms,36.24 ms,2.65 ms,199974/200000 (100%)
kuiper,630,isls,1161,1158,Mexico-City,Riyadh,53.38 ms,53.38 ms,105.99 ms,106.76 ms,112.82 ms,0.83 ms,199894/200000 (100%)
telesat,1015,isls,351,352,Madrid,Barcelona,8.20 ms,8.20 ms,14.58 ms,16.41 ms,18.72 ms,1.13 ms,199986/200000 (100%)
starlink,550,isls,1593,1592,Sidney,Tokyo,59.67 ms,59.66 ms,99.73 ms,119.33 ms,129.23 ms,10.67 ms,199900/200000 (100%)
starlink,550,isls,1587,1585,Los-Angeles,Barcelona,36.97 ms,36.97 ms,72.74 ms,73.94 ms,79.77 ms,1.10 ms,199928/200000 (100%)
kuiper,630,isls,1158,1161,Riyadh,Mexico-City,53.38 ms,53.38 ms,105.99 ms,106.76 ms,113.76 ms,0.83 ms,199894/200000 (100%)
starlink,550,isls,1585,1592,Barcelona,Tokyo,47.12 ms,47.12 ms,88.50 ms,94.24 ms,98.32 ms,3.41 ms,199902/200000 (100%)
kuiper,630,isls,1159,1164,Los-Angeles,Tokyo,35.36 ms,35.36 ms,67.62 ms,70.71 ms,72.69 ms,1.80 ms,199933/200000 (100%)
starlink,550,isls,1584,1587,Madrid,Los-Angeles,36.06 ms,36.06 ms,70.14 ms,72.11 ms,78.14 ms,1.27 ms,199930/200000 (100%)
kuiper,630,isls,1165,1157,Sidney,Barcelona,66.87 ms,66.87 ms,132.52 ms,133.74 ms,139.70 ms,1.02 ms,199864/200000 (100%)
starlink,550,isls,1591,1587,Cairo,Los-Angeles,53.04 ms,53.04 ms,99.79 ms,106.08 ms,110.28 ms,4.48 ms,199900/200000 (100%)
telesat,1015,isls,359,360,Tokyo,Sidney,28.39 ms,28.39 ms,56.76 ms,56.79 ms,56.89 ms,0.03 ms,199944/200000 (100%)
kuiper,630,isls,1160,1159,New-York,Los-Angeles,17.00 ms,16.99 ms,32.74 ms,33.99 ms,37.95 ms,1.21 ms,199968/200000 (100%)
starlink,550,isls,1587,1590,Los-Angeles,Bogota,24.89 ms,24.89 ms,45.35 ms,49.78 ms,61.10 ms,5.51 ms,199941/200000 (100%)
starlink,550,isls,1587,1591,Los-Angeles,Cairo,53.04 ms,53.04 ms,99.79 ms,106.08 ms,110.28 ms,4.48 ms,199900/200000 (100%)
