origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink
Madrid,Riyadh,isls,telesat,1015,351,353,19.08 ms,19.08 ms,38.01 ms,38.17 ms,38.70 ms,0.18 ms,199962/200000 (100%),kuiper,630,1156,1158,21.23 ms,21.24 ms,41.14 ms,42.47 ms,47.17 ms,1.13 ms,199958/200000 (100%),starlink,550,1584,1586,24.84 ms,24.84 ms,47.06 ms,49.69 ms,58.28 ms,2.95 ms,199942/200000 (100%)
Madrid,Sidney,isls,telesat,1015,351,360,70.04 ms,70.03 ms,139.53 ms,140.07 ms,140.53 ms,0.29 ms,199860/200000 (100%),kuiper,630,1156,1165,68.39 ms,68.39 ms,134.43 ms,136.78 ms,140.04 ms,2.10 ms,199861/200000 (100%),starlink,550,1584,1593,68.03 ms,68.03 ms,131.19 ms,136.06 ms,141.94 ms,4.02 ms,199868/200000 (100%)
Sidney,Tokyo,isls,telesat,1015,360,359,28.39 ms,28.39 ms,56.76 ms,56.79 ms,56.89 ms,0.03 ms,199944/200000 (100%),kuiper,630,1165,1164,47.30 ms,47.30 ms,89.82 ms,94.61 ms,97.46 ms,2.38 ms,199905/200000 (100%),starlink,550,1593,1592,59.67 ms,59.66 ms,99.73 ms,119.33 ms,129.23 ms,10.67 ms,199900/200000 (100%)
Barcelona,Sidney,isls,telesat,1015,352,360,68.97 ms,68.96 ms,135.58 ms,137.93 ms,142.31 ms,1.14 ms,199865/200000 (100%),kuiper,630,1157,1165,66.87 ms,66.87 ms,132.52 ms,133.74 ms,138.66 ms,1.02 ms,199864/200000 (100%),starlink,550,1585,1593,66.41 ms,66.42 ms,129.67 ms,132.83 ms,143.11 ms,4.93 ms,199871/200000 (100%)
Cairo,Sidney,isls,telesat,1015,358,360,62.13 ms,62.13 ms,117.98 ms,124.26 ms,125.93 ms,1.08 ms,199876/200000 (100%),kuiper,630,1163,1165,58.31 ms,58.32 ms,115.62 ms,116.63 ms,120.19 ms,1.50 ms,199885/200000 (100%),starlink,550,1591,1593,74.15 ms,74.16 ms,142.45 ms,148.31 ms,154.36 ms,5.00 ms,199846/200000 (100%)
Cairo,Bogota,isls,telesat,1015,358,357,45.35 ms,45.35 ms,88.97 ms,90.70 ms,93.20 ms,0.92 ms,199911/200000 (100%),kuiper,630,1163,1162,46.92 ms,46.92 ms,91.73 ms,93.83 ms,96.37 ms,1.64 ms,199908/200000 (100%),starlink,550,1591,1590,68.55 ms,68.55 ms,131.93 ms,137.09 ms,145.54 ms,6.00 ms,199855/200000 (100%)
Tokyo,Mexico-City,isls,telesat,1015,359,356,42.88 ms,42.88 ms,85.41 ms,85.76 ms,86.57 ms,0.35 ms,199915/200000 (100%),kuiper,630,1164,1161,44.30 ms,44.30 ms,85.34 ms,88.60 ms,90.64 ms,1.42 ms,199915/200000 (100%),starlink,550,1592,1589,43.77 ms,43.77 ms,83.75 ms,87.54 ms,92.25 ms,1.15 ms,199911/200000 (100%)
Riyadh,Los-Angeles,isls,telesat,1015,353,354,48.87 ms,48.87 ms,96.75 ms,97.73 ms,99.16 ms,0.87 ms,199903/200000 (100%),kuiper,630,1158,1159,53.94 ms,53.94 ms,105.27 ms,107.88 ms,109.96 ms,1.58 ms,199892/200000 (100%),starlink,550,1586,1587,62.51 ms,62.51 ms,122.91 ms,125.02 ms,129.37 ms,2.25 ms,199876/200000 (100%)
Riyadh,Tokyo,isls,telesat,1015,353,359,31.44 ms,31.44 ms,62.72 ms,62.88 ms,63.12 ms,0.11 ms,199938/200000 (100%),kuiper,630,1158,1164,36.12 ms,36.12 ms,71.25 ms,72.24 ms,77.22 ms,1.41 ms,199929/200000 (100%),starlink,550,1586,1592,49.96 ms,49.97 ms,91.78 ms,99.93 ms,117.10 ms,9.06 ms,199885/200000 (100%)
New-York,Mexico-City,isls,telesat,1015,355,356,14.22 ms,14.22 ms,27.64 ms,28.44 ms,30.28 ms,0.78 ms,199973/200000 (100%),kuiper,630,1160,1161,14.98 ms,14.97 ms,28.88 ms,29.95 ms,35.84 ms,1.76 ms,199972/200000 (100%),starlink,550,1588,1589,14.26 ms,14.26 ms,25.77 ms,28.52 ms,39.70 ms,2.65 ms,199974/200000 (100%)
Riyadh,Sidney,isls,telesat,1015,353,360,51.77 ms,51.77 ms,94.89 ms,103.55 ms,105.33 ms,2.62 ms,199895/200000 (100%),kuiper,630,1158,1165,52.11 ms,52.11 ms,102.16 ms,104.21 ms,107.75 ms,1.48 ms,199896/200000 (100%),starlink,550,1586,1593,64.58 ms,64.59 ms,127.86 ms,129.17 ms,140.64 ms,2.94 ms,199860/200000 (100%)
Mexico-City,Tokyo,isls,telesat,1015,356,359,42.88 ms,42.88 ms,85.41 ms,85.76 ms,86.57 ms,0.35 ms,199915/200000 (100%),kuiper,630,1161,1164,44.30 ms,44.30 ms,85.34 ms,88.60 ms,90.64 ms,1.42 ms,199915/200000 (100%),starlink,550,1589,1592,43.77 ms,43.77 ms,83.75 ms,87.54 ms,94.51 ms,1.15 ms,199911/200000 (100%)
Bogota,Tokyo,isls,telesat,1015,357,359,56.06 ms,56.06 ms,111.12 ms,112.13 ms,112.62 ms,0.59 ms,199889/200000 (100%),kuiper,630,1162,1164,54.89 ms,54.89 ms,108.17 ms,109.78 ms,113.59 ms,2.10 ms,199892/200000 (100%),starlink,550,1590,1592,54.12 ms,54.12 ms,104.60 ms,108.25 ms,114.28 ms,2.37 ms,199891/200000 (100%)
Madrid,Mexico-City,isls,telesat,1015,351,356,32.73 ms,32.73 ms,65.29 ms,65.47 ms,65.79 ms,0.15 ms,199935/200000 (100%),kuiper,630,1156,1161,37.15 ms,37.15 ms,72.49 ms,74.31 ms,78.23 ms,1.10 ms,199926/200000 (100%),starlink,550,1584,1589,42.65 ms,42.65 ms,78.98 ms,85.29 ms,110.27 ms,8.19 ms,199908/200000 (100%)
Madrid,Bogota,isls,telesat,1015,351,357,29.13 ms,29.13 ms,58.21 ms,58.26 ms,58.40 ms,0.04 ms,199942/200000 (100%),kuiper,630,1156,1162,32.75 ms,32.74 ms,63.40 ms,65.49 ms,68.12 ms,1.43 ms,199935/200000 (100%),starlink,550,1584,1590,38.90 ms,38.90 ms,73.09 ms,77.80 ms,86.37 ms,5.61 ms,199922/200000 (100%)
Tokyo,Riyadh,isls,telesat,1015,359,353,31.44 ms,31.44 ms,62.72 ms,62.88 ms,63.12 ms,0.11 ms,199938/200000 (100%),kuiper,630,1164,1158,36.12 ms,36.12 ms,71.25 ms,72.24 ms,77.22 ms,1.41 ms,199929/200000 (100%),starlink,550,1592,1586,49.97 ms,49.97 ms,91.78 ms,99.93 ms,120.24 ms,9.06 ms,199885/200000 (100%)
Los-Angeles,Cairo,isls,telesat,1015,354,358,45.71 ms,45.71 ms,91.28 ms,91.41 ms,91.44 ms,0.03 ms,199909/200000 (100%),kuiper,630,1159,1163,48.52 ms,48.52 ms,94.61 ms,97.04 ms,99.31 ms,1.91 ms,199902/200000 (100%),starlink,550,1587,1591,53.04 ms,53.04 ms,99.79 ms,106.08 ms,110.28 ms,4.48 ms,199900/200000 (100%)
Mexico-City,Cairo,isls,telesat,1015,356,358,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%),kuiper,630,1161,1163,48.52 ms,48.53 ms,93.52 ms,97.05 ms,99.29 ms,1.45 ms,199903/200000 (100%),starlink,550,1589,1591,47.93 ms,47.94 ms,91.71 ms,95.87 ms,102.47 ms,4.57 ms,199906/200000 (100%)
Sidney,Barcelona,isls,telesat,1015,360,352,68.97 ms,68.97 ms,135.58 ms,137.93 ms,142.14 ms,1.14 ms,199865/200000 (100%),kuiper,630,1165,1157,66.87 ms,66.87 ms,132.52 ms,133.74 ms,139.70 ms,1.02 ms,199864/200000 (100%),starlink,550,1593,1585,66.42 ms,66.41 ms,129.67 ms,132.83 ms,147.12 ms,4.93 ms,199871/200000 (100%)
Riyadh,Barcelona,isls,telesat,1015,353,352,17.53 ms,17.53 ms,34.88 ms,35.05 ms,35.56 ms,0.16 ms,199965/200000 (100%),kuiper,630,1158,1157,19.18 ms,19.18 ms,35.38 ms,38.36 ms,40.88 ms,0.94 ms,199962/200000 (100%),starlink,550,1586,1585,20.35 ms,20.34 ms,35.31 ms,40.69 ms,47.20 ms,3.81 ms,199955/200000 (100%)
Tokyo,New-York,isls,telesat,1015,359,355,39.17 ms,39.17 ms,77.03 ms,78.33 ms,83.09 ms,1.57 ms,199920/200000 (100%),kuiper,630,1164,1160,44.15 ms,44.15 ms,86.69 ms,88.30 ms,91.12 ms,1.85 ms,199913/200000 (100%),starlink,550,1592,1588,51.79 ms,51.79 ms,99.80 ms,103.58 ms,110.60 ms,4.61 ms,199890/200000 (100%)
Los-Angeles,Bogota,isls,telesat,1015,354,357,21.17 ms,21.16 ms,42.19 ms,42.33 ms,42.74 ms,0.14 ms,199958/200000 (100%),kuiper,630,1159,1162,23.97 ms,23.97 ms,46.68 ms,47.94 ms,49.52 ms,0.67 ms,199953/200000 (100%),starlink,550,1587,1590,24.89 ms,24.89 ms,45.35 ms,49.78 ms,61.10 ms,5.51 ms,199941/200000 (100%)
Los-Angeles,Barcelona,isls,telesat,1015,354,352,34.65 ms,34.65 ms,69.19 ms,69.30 ms,69.65 ms,0.11 ms,199931/200000 (100%),kuiper,630,1159,1157,38.19 ms,38.19 ms,74.63 ms,76.38 ms,79.85 ms,2.15 ms,199925/200000 (100%),starlink,550,1587,1585,36.97 ms,36.97 ms,72.74 ms,73.94 ms,79.77 ms,1.10 ms,199928/200000 (100%)
Cairo,New-York,isls,telesat,1015,358,355,32.57 ms,32.57 ms,65.06 ms,65.13 ms,65.48 ms,0.11 ms,199935/200000 (100%),kuiper,630,1163,1160,35.63 ms,35.63 ms,68.12 ms,71.26 ms,73.03 ms,0.98 ms,199929/200000 (100%),starlink,550,1591,1588,35.26 ms,35.26 ms,66.76 ms,70.53 ms,83.08 ms,2.25 ms,199932/200000 (100%)
Barcelona,Riyadh,isls,telesat,1015,352,353,17.53 ms,17.53 ms,34.88 ms,35.05 ms,35.56 ms,0.16 ms,199965/200000 (100%),kuiper,630,1157,1158,19.18 ms,19.18 ms,35.38 ms,38.36 ms,40.31 ms,0.94 ms,199962/200000 (100%),starlink,550,1585,1586,20.34 ms,20.35 ms,35.31 ms,40.69 ms,45.67 ms,3.81 ms,199955/200000 (100%)
Los-Angeles,Riyadh,isls,telesat,1015,354,353,48.87 ms,48.87 ms,96.75 ms,97.73 ms,99.33 ms,0.87 ms,199903/200000 (100%),kuiper,630,1159,1158,53.94 ms,53.94 ms,105.27 ms,107.88 ms,109.88 ms,1.58 ms,199892/200000 (100%),starlink,550,1587,1586,62.51 ms,62.51 ms,122.91 ms,125.02 ms,129.37 ms,2.25 ms,199876/200000 (100%)
Riyadh,Cairo,isls,telesat,1015,353,358,10.44 ms,10.44 ms,18.54 ms,20.88 ms,23.15 ms,1.26 ms,199982/200000 (100%),kuiper,630,1158,1163,7.98 ms,7.98 ms,14.22 ms,15.96 ms,20.00 ms,2.21 ms,199986/200000 (100%),starlink,550,1586,1591,8.70 ms,8.70 ms,13.44 ms,17.39 ms,23.50 ms,2.29 ms,199983/200000 (100%)
Cairo,Madrid,isls,telesat,1015,358,351,14.11 ms,14.11 ms,27.77 ms,28.21 ms,29.15 ms,0.37 ms,199971/200000 (100%),kuiper,630,1163,1156,15.20 ms,15.20 ms,28.70 ms,30.40 ms,33.01 ms,0.60 ms,199970/200000 (100%),starlink,550,1591,1584,16.17 ms,16.17 ms,27.11 ms,32.34 ms,36.65 ms,2.17 ms,199966/200000 (100%)
Mexico-City,Sidney,isls,telesat,1015,356,360,52.04 ms,52.05 ms,94.52 ms,104.09 ms,107.88 ms,4.43 ms,199893/200000 (100%),kuiper,630,1161,1165,53.15 ms,53.15 ms,105.09 ms,106.31 ms,110.14 ms,1.52 ms,199895/200000 (100%),starlink,550,1589,1593,68.47 ms,68.47 ms,130.62 ms,136.94 ms,145.36 ms,4.71 ms,199859/200000 (100%)
Sidney,Riyadh,isls,telesat,1015,360,353,51.77 ms,51.78 ms,94.89 ms,103.55 ms,105.33 ms,2.61 ms,199895/200000 (100%),kuiper,630,1165,1158,52.11 ms,52.11 ms,102.15 ms,104.21 ms,108.60 ms,1.48 ms,199896/200000 (100%),starlink,550,1593,1586,64.59 ms,64.59 ms,127.86 ms,129.17 ms,140.86 ms,2.95 ms,199860/200000 (100%)
New-York,Barcelona,isls,telesat,1015,355,352,23.16 ms,23.16 ms,46.05 ms,46.32 ms,47.12 ms,0.29 ms,199954/200000 (100%),kuiper,630,1160,1157,25.22 ms,25.23 ms,49.06 ms,50.45 ms,51.98 ms,1.02 ms,199951/200000 (100%),starlink,550,1588,1585,25.28 ms,25.28 ms,49.29 ms,50.56 ms,59.19 ms,0.37 ms,199950/200000 (100%)
Los-Angeles,New-York,isls,telesat,1015,354,355,16.04 ms,16.04 ms,31.42 ms,32.08 ms,32.82 ms,0.36 ms,199969/200000 (100%),kuiper,630,1159,1160,17.00 ms,17.00 ms,32.74 ms,33.99 ms,37.27 ms,1.21 ms,199968/200000 (100%),starlink,550,1587,1588,22.13 ms,22.13 ms,34.94 ms,44.27 ms,47.61 ms,4.68 ms,199965/200000 (100%)
New-York,Sidney,isls,telesat,1015,355,360,67.31 ms,67.31 ms,130.89 ms,134.62 ms,139.20 ms,2.32 ms,199868/200000 (100%),kuiper,630,1160,1165,62.85 ms,62.84 ms,124.14 ms,125.69 ms,129.09 ms,1.14 ms,199875/200000 (100%),starlink,550,1588,1593,71.84 ms,71.84 ms,135.51 ms,143.67 ms,153.44 ms,6.43 ms,199854/200000 (100%)
Los-Angeles,Madrid,isls,telesat,1015,354,351,33.75 ms,33.75 ms,67.31 ms,67.50 ms,67.82 ms,0.15 ms,199933/200000 (100%),kuiper,630,1159,1156,36.77 ms,36.77 ms,72.63 ms,73.54 ms,78.59 ms,1.29 ms,199927/200000 (100%),starlink,550,1587,1584,36.06 ms,36.06 ms,70.14 ms,72.11 ms,76.77 ms,1.27 ms,199930/200000 (100%)
Bogota,New-York,isls,telesat,1015,357,355,16.01 ms,16.01 ms,31.82 ms,32.03 ms,32.61 ms,0.23 ms,199968/200000 (100%),kuiper,630,1162,1160,27.72 ms,27.72 ms,47.18 ms,55.44 ms,59.05 ms,1.18 ms,199953/200000 (100%),starlink,550,1590,1588,33.15 ms,33.15 ms,65.22 ms,66.30 ms,68.90 ms,0.96 ms,199935/200000 (100%)
Bogota,Sidney,isls,telesat,1015,357,360,60.24 ms,60.24 ms,118.59 ms,120.48 ms,124.10 ms,1.98 ms,199881/200000 (100%),kuiper,630,1162,1165,58.19 ms,58.19 ms,111.24 ms,116.39 ms,117.74 ms,1.29 ms,199884/200000 (100%),starlink,550,1590,1593,59.24 ms,59.24 ms,108.23 ms,118.48 ms,127.51 ms,7.37 ms,199874/200000 (100%)
Sidney,Bogota,isls,telesat,1015,360,357,60.24 ms,60.24 ms,118.59 ms,120.48 ms,124.10 ms,1.98 ms,199881/200000 (100%),kuiper,630,1165,1162,58.19 ms,58.19 ms,111.24 ms,116.39 ms,117.74 ms,1.28 ms,199884/200000 (100%),starlink,550,1593,1590,59.23 ms,59.24 ms,108.23 ms,118.48 ms,127.44 ms,7.37 ms,199874/200000 (100%)
Riyadh,Madrid,isls,telesat,1015,353,351,19.08 ms,19.08 ms,38.01 ms,38.17 ms,38.70 ms,0.18 ms,199962/200000 (100%),kuiper,630,1158,1156,21.24 ms,21.23 ms,41.14 ms,42.47 ms,48.11 ms,1.13 ms,199958/200000 (100%),starlink,550,1586,1584,24.84 ms,24.84 ms,47.06 ms,49.69 ms,59.62 ms,2.95 ms,199942/200000 (100%)
Cairo,Mexico-City,isls,telesat,1015,358,356,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%),kuiper,630,1163,1161,48.53 ms,48.52 ms,93.52 ms,97.05 ms,99.38 ms,1.45 ms,199903/200000 (100%),starlink,550,1591,1589,47.94 ms,47.93 ms,91.71 ms,95.87 ms,106.27 ms,4.57 ms,199906/200000 (100%)
Barcelona,Madrid,isls,telesat,1015,352,351,8.20 ms,8.20 ms,14.58 ms,16.41 ms,18.72 ms,1.13 ms,199986/200000 (100%),kuiper,630,1157,1156,5.09 ms,5.09 ms,9.47 ms,10.18 ms,11.72 ms,0.62 ms,199991/200000 (100%),starlink,550,1585,1584,4.03 ms,4.03 ms,7.69 ms,8.07 ms,8.83 ms,0.30 ms,199992/200000 (100%)
Sidney,Los-Angeles,isls,telesat,1015,360,354,47.99 ms,47.99 ms,88.11 ms,95.98 ms,99.28 ms,4.15 ms,199912/200000 (100%),kuiper,630,1165,1159,48.00 ms,48.00 ms,93.82 ms,96.00 ms,99.76 ms,1.87 ms,199906/200000 (100%),starlink,550,1593,1587,51.89 ms,51.90 ms,99.78 ms,103.79 ms,113.10 ms,5.14 ms,199887/200000 (100%)
Mexico-City,Bogota,isls,telesat,1015,356,357,13.93 ms,13.93 ms,26.58 ms,27.86 ms,29.03 ms,0.88 ms,199972/200000 (100%),kuiper,630,1161,1162,15.11 ms,15.11 ms,29.54 ms,30.22 ms,36.30 ms,1.19 ms,199971/200000 (100%),starlink,550,1589,1590,16.23 ms,16.23 ms,30.92 ms,32.46 ms,35.38 ms,1.35 ms,199965/200000 (100%)
