origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of
Cairo,New-York,isls,telesat,1015,358,355,32.57 ms,32.57 ms,65.06 ms,65.13 ms,65.48 ms,0.11 ms,199935/200000 (100%),kuiper,630,1163,1160,35.63 ms,35.63 ms,68.12 ms,71.26 ms,73.03 ms,0.98 ms,199929/200000 (100%),starlink,550,1591,1588,35.26 ms,35.26 ms,66.76 ms,70.53 ms,83.08 ms,2.25 ms,199932/200000 (100%),Egypt,United States,"125,830666666667","126,735541666667","132,964666666667",1452,"8994,15830739007","89,9415830739006"
Cairo,Madrid,isls,telesat,1015,358,351,14.11 ms,14.11 ms,27.77 ms,28.21 ms,29.15 ms,0.37 ms,199971/200000 (100%),kuiper,630,1163,1156,15.20 ms,15.20 ms,28.70 ms,30.40 ms,33.01 ms,0.60 ms,199970/200000 (100%),starlink,550,1591,1584,16.17 ms,16.17 ms,27.11 ms,32.34 ms,36.65 ms,2.17 ms,199966/200000 (100%),Egypt,Spain,"62,413625","63,1272916666667","67,8177916666667","1,03575","3347,07961727239","33,4707961727239"
Cairo,Mexico-City,isls,telesat,1015,358,356,51.10 ms,51.10 ms,101.11 ms,102.19 ms,103.77 ms,0.78 ms,199899/200000 (100%),kuiper,630,1163,1161,48.53 ms,48.52 ms,93.52 ms,97.05 ms,99.38 ms,1.45 ms,199903/200000 (100%),starlink,550,1591,1589,47.94 ms,47.93 ms,91.71 ms,95.87 ms,106.27 ms,4.57 ms,199906/200000 (100%),Egypt,Mexico,"194,4815","196,257625","207,003583333333",2825,"12366,9669171993","123,669669171993"
Cairo,Barcelona,isls,telesat,1015,358,352,12.68 ms,12.68 ms,24.87 ms,25.36 ms,26.20 ms,0.41 ms,199974/200000 (100%),kuiper,630,1163,1157,13.28 ms,13.28 ms,23.98 ms,26.57 ms,30.37 ms,1.69 ms,199973/200000 (100%),starlink,550,1591,1585,12.88 ms,12.88 ms,22.36 ms,25.75 ms,35.02 ms,2.27 ms,199978/200000 (100%),Egypt,Spain,"57,3633333333333","58,307875","63,769625","1,31008333333333","2891,19932864187","28,9119932864187"
Los-Angeles,Mexico-City,isls,telesat,1015,354,356,11.74 ms,11.74 ms,22.79 ms,23.49 ms,24.27 ms,0.42 ms,199977/200000 (100%),kuiper,630,1159,1161,11.89 ms,11.89 ms,22.11 ms,23.77 ms,27.61 ms,2.20 ms,199978/200000 (100%),starlink,550,1587,1589,11.10 ms,11.10 ms,20.50 ms,22.21 ms,28.26 ms,1.02 ms,199980/200000 (100%),United States,Mexico,"47,7931666666667","48,5434166666667","54,993875","1,64441666666667","2490,35365637198","24,9035365637198"
Los-Angeles,Cairo,isls,telesat,1015,354,358,45.71 ms,45.71 ms,91.28 ms,91.41 ms,91.44 ms,0.03 ms,199909/200000 (100%),kuiper,630,1159,1163,48.52 ms,48.52 ms,94.61 ms,97.04 ms,99.31 ms,1.91 ms,199902/200000 (100%),starlink,550,1587,1591,53.04 ms,53.04 ms,99.79 ms,106.08 ms,110.28 ms,4.48 ms,199900/200000 (100%),United States,Egypt,"186,901291666667","187,861875","194,653375","1,58258333333333","12199,0534360117","121,990534360117"
Los-Angeles,Bogota,isls,telesat,1015,354,357,21.17 ms,21.16 ms,42.19 ms,42.33 ms,42.74 ms,0.14 ms,199958/200000 (100%),kuiper,630,1159,1162,23.97 ms,23.97 ms,46.68 ms,47.94 ms,49.52 ms,0.67 ms,199953/200000 (100%),starlink,550,1587,1590,24.89 ms,24.89 ms,45.35 ms,49.78 ms,61.10 ms,5.51 ms,199941/200000 (100%),United States,Colombia,105627,"105,769333333333","107,001583333333","0,424791666666667","5605,3414104866","56,053414104866"
Los-Angeles,Barcelona,isls,telesat,1015,354,352,34.65 ms,34.65 ms,69.19 ms,69.30 ms,69.65 ms,0.11 ms,199931/200000 (100%),kuiper,630,1159,1157,38.19 ms,38.19 ms,74.63 ms,76.38 ms,79.85 ms,2.15 ms,199925/200000 (100%),starlink,550,1587,1585,36.97 ms,36.97 ms,72.74 ms,73.94 ms,79.77 ms,1.10 ms,199928/200000 (100%),United States,Spain,"167,690625","167,922458333333","168,1615","0,387708333333333","9653,68475087745","96,5368475087745"
Los-Angeles,Riyadh,isls,telesat,1015,354,353,48.87 ms,48.87 ms,96.75 ms,97.73 ms,99.33 ms,0.87 ms,199903/200000 (100%),kuiper,630,1159,1158,53.94 ms,53.94 ms,105.27 ms,107.88 ms,109.88 ms,1.58 ms,199892/200000 (100%),starlink,550,1587,1586,62.51 ms,62.51 ms,122.91 ms,125.02 ms,129.37 ms,2.25 ms,199876/200000 (100%),United States,Saudi Arabia,"218,212291666667","218,366416666667","218,794875","0,442041666666667","13298,864361197","132,98864361197"
Los-Angeles,New-York,isls,telesat,1015,354,355,16.04 ms,16.04 ms,31.42 ms,32.08 ms,32.82 ms,0.36 ms,199969/200000 (100%),kuiper,630,1159,1160,17.00 ms,17.00 ms,32.74 ms,33.99 ms,37.27 ms,1.21 ms,199968/200000 (100%),starlink,550,1587,1588,22.13 ms,22.13 ms,34.94 ms,44.27 ms,47.61 ms,4.68 ms,199965/200000 (100%),United States,United States,"67,9137083333333","67,987375","68,1229166666667","0,231166666666667","3965,52920669497","39,6552920669497"
