origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
Frankfurt,Rome,isls,telesat,1015,351,355,7.58,7.58,14.21,15.17,17.78,0.95,199985/200000 (100%),kuiper,630,1156,1160,4.94,4.94,9.32,9.89,11.14,0.53,199991/200000 (100%),starlink,550,1584,1588,4.08,4.08,7.86,8.16,8.70,0.24,199992/200000 (100%),Germany,Italy,"8,94379166666667","9,04575","9,31545833333333","0,12175","959,691578332131","9,59691578332131",1,"2398,0983125",1,"1533,45316071429",1,"1248,69313541667"
Amsterdam,Venice,isls,telesat,1015,353,357,7.90,7.90,15.23,15.80,17.90,0.71,199985/200000 (100%),kuiper,630,1158,1162,5.49,5.49,10.77,10.99,11.53,0.22,199990/200000 (100%),starlink,550,1586,1590,4.86,4.86,9.48,9.72,10.34,0.21,199991/200000 (100%),Netherlands,Italy,"25,9659166666667","30,54625","62,0952083333333","8,06625","932,04064214759","9,3204064214759",1,"2490,724625",1,"1679,36553571429",1,"1492,3834875"
Rome,Helsinki,isls,telesat,1015,355,358,10.15,10.15,19.26,20.30,21.12,0.62,199980/200000 (100%),kuiper,630,1160,1163,8.68,8.68,15.46,17.37,24.02,2.57,173973/200000 (87%),starlink,550,1588,1591,8.83,8.83,14.51,17.65,22.86,1.67,199983/200000 (100%),Italy,Finland,"32,3526666666667","32,7658333333333","34,7118333333333","0,634416666666667","2198,02732883459","21,9802732883459",1,"3037,15365625","1,5","2347,92026531639",1625,"2533,12071681498"
London,Bar,isls,telesat,1015,354,356,9.45,9.45,17.91,18.90,20.73,0.87,199982/200000 (100%),kuiper,630,1159,1161,6.17,6.17,11.65,12.33,13.97,0.58,199988/200000 (100%),starlink,550,1587,1589,5.32,5.32,10.47,10.64,10.92,0.11,199990/200000 (100%),United Kingdom,Spain,"27,379125","27,8129166666667","29,85775","0,528416666666667","1139,82390068252","11,3982390068252",1,"2923,034875",1,"1946,27380208333",1,"1615,27415178571"
Munich,Moscow,isls,telesat,1015,352,359,10.89,10.89,20.01,21.77,23.52,0.99,199980/200000 (100%),kuiper,630,1157,1164,8.98,8.98,16.16,17.96,21.02,1.76,199984/200000 (100%),starlink,550,1585,1592,8.31,8.31,16.06,16.62,22.48,0.70,199984/200000 (100%),Germany,Russia,"43,1557916666667","43,3167083333333","44,3995","0,330958333333333","1960,76815051249","19,6076815051249",1,"3339,033890625","1,57142857142857","2637,005245413",2,"2561,34017660627"
Venice,Helsinki,isls,telesat,1015,357,358,10.18,10.18,19.21,20.36,21.22,0.67,199980/200000 (100%),kuiper,630,1162,1163,8.61,8.61,15.43,17.21,29.55,2.53,173973/200000 (87%),starlink,550,1590,1591,8.83,8.83,14.48,17.67,26.67,1.94,199983/200000 (100%),Italy,Finland,"38,0750833333333","42,344875","80,5727083333333","8,399375","1803,25318471764","18,0325318471764",1,"3048,49384375","1,5","2347,01565807828","1,77777777777778","2702,37721156212"
Helsinki,Moscow,isls,telesat,1015,358,359,8.33,8.33,15.43,16.66,18.37,1.07,199985/200000 (100%),kuiper,630,1163,1164,8.34,8.34,13.92,16.69,22.72,3.21,173975/200000 (87%),starlink,550,1591,1592,6.33,6.33,11.80,12.67,18.25,0.75,199988/200000 (100%),Finland,Russia,"24,385","24,6288333333333","26,725375","0,509666666666667","908,307065026294","9,08307065026294",1,"2695,46254166667","1,33333333333333","2312,21472783568","1,28571428571429","2068,89462037696"
Frankfurt,Amsterdam,isls,telesat,1015,351,353,7.32,7.32,13.93,14.63,15.88,0.46,199987/200000 (100%),kuiper,630,1156,1158,4.57,4.57,8.85,9.13,10.10,0.33,199992/200000 (100%),starlink,550,1584,1586,3.83,3.83,7.52,7.66,7.72,0.8,199988/200000 (100%),Germany,Netherlands,"7,86195833333333","8,106875","8,77454166666667","0,241208333333333","368,599612148821","3,68599612148821",1,"2327,886875",1,"1381,8578125",1,"1144,29664732143"
Amsterdam,London,isls,telesat,1015,353,354,8.12,8.12,14.77,16.24,17.08,0.64,199986/200000 (100%),kuiper,630,1158,1159,4.62,4.62,8.84,9.23,10.40,0.45,199992/200000 (100%),starlink,550,1586,1587,3.74,3.74,7.31,7.49,7.81,0.11,199993/200000 (100%),Netherlands,United Kingdom,"6,9185","8,35825","12,7989166666667","1,35491666666667","340,923670354389","3,40923670354389",1,"2526,43195833333",1,"1388,04215178571",1,"1131,67742857143"
Amsterdam,Moscow,isls,telesat,1015,353,359,10.78,10.78,20.63,21.56,23.06,0.72,199979/200000 (100%),kuiper,630,1158,1164,10.68,10.68,20.63,21.36,25.06,0.65,199979/200000 (100%),starlink,550,1586,1592,9.35,9.35,17.56,18.69,22.89,0.67,199981/200000 (100%),Netherlands,Russia,"44,1855833333333","44,5097916666667","44,9366666666667","0,256125","2162,74726453592","21,6274726453592",1,"3274,326375",2,"3310,80732816983",2,"2770,98183744909"
