origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink,country_source,country_destination,min_of,avg_of,max_of,mdev_of,Distance_of,Expected_Latency_of,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
Cairo,Beirut,isls,telesat,1015,351,355,8.64,8.64,16.12,17.29,20.53,1.27,199980/200000 (100%),kuiper,630,1156,1160,4.98,4.98,9.42,9.96,11.04,0.41,199990/200000 (100%),starlink,550,1584,1588,4.25,4.25,7.95,8.49,9.30,0.40,199992/200000 (100%),Egypt,Lebanon,"89,2443333333333","93,0144166666667","107,248458333333","4,22204166666667","584,506448580908","5,84506448580908",1,"2459,6713125",1,"1534,76489583333",1,"1318,546359375"
Jerusalem,Izmir,isls,telesat,1015,353,357,8.76,8.76,16.64,17.52,19.83,0.91,199983/200000 (100%),kuiper,630,1158,1162,5.87,5.87,11.27,11.73,12.66,0.36,199989/200000 (100%),starlink,550,1586,1590,5.18,5.18,9.98,10.35,10.94,0.24,199990/200000 (100%),Israel,Turkey,"99,41475","108,802458333333","135,481041666667","10,3615833333333","1041,64955343553","10,4164955343553",1,"2949,2191875",1,"1785,35991666667",1,"1575,6526375"
Beirut,Athens,isls,telesat,1015,355,358,8.81,8.81,16.44,17.63,20.03,1.21,199983/200000 (100%),kuiper,630,1160,1163,6.05,6.05,11.67,12.09,12.85,0.33,199989/200000 (100%),starlink,550,1588,1591,5.45,5.45,10.59,10.90,13.16,0.55,199990/200000 (100%),Lebanon,Greece,"106,131041666667","109,104166666667","118,886416666667","2,903125","1150,20081113703","11,5020081113703",1,"2970,9263125",1,"1837,95589583333",1,"1693,6084375"
Limassol,Ankara,isls,telesat,1015,354,356,8.72,8.72,16.79,17.45,18.83,0.59,199983/200000 (100%),kuiper,630,1159,1161,4.87,4.87,9.37,9.73,10.44,0.30,199991/200000 (100%),starlink,550,1587,1589,4.51,4.51,8.24,9.02,10.01,0.52,199992/200000 (100%),Cyprus,Turkey,"99,1250434782609","100,275260869565","107,073869565217","1,77073913043478","585,804220355034","5,85804220355034",1,"2650,195875",1,"1533,12184375",1,"1368,98995"
TelAviv,Tunis,isls,telesat,1015,352,359,11.42,11.42,22.14,22.85,24.80,0.71,199977/200000 (100%),kuiper,630,1157,1164,11.42,11.42,20.96,22.84,25.35,0.88,199978/200000 (100%),starlink,550,1585,1592,11.70,11.70,20.78,23.40,33.30,4.09,199968/200000 (100%),Israel,Tunisia,"92,862875","92,9725833333333","93,339125","0,274875","2366,54725293521","23,6654725293521",1,"3636,8953125",2,"3370,11143907359",3,"4108,28134315913"
Izmir,Athens,isls,telesat,1015,357,358,7.50,7.50,13.77,14.99,16.34,0.73,199987/200000 (100%),kuiper,630,1162,1163,4.78,4.78,8.96,9.55,10.75,0.46,199991/200000 (100%),starlink,550,1590,1591,4.00,4.00,7.17,8.00,9.26,0.60,199992/200000 (100%),Turkey,Greece,"30,8436666666667","40,3525833333333","68,200125","11,252375","303,666350499431","3,03666350499431",1,"2372,08325",1,"1465,28710416667",1,"1229,67532291667"
Athens,Tunis,isls,telesat,1015,358,359,9.02,9.02,17.29,18.04,19.81,0.68,199981/200000 (100%),kuiper,630,1163,1164,6.67,6.67,13.00,13.35,15.39,0.45,199987/200000 (100%),starlink,550,1591,1592,6.56,6.56,11.85,13.11,19.71,1.68,199984/200000 (100%),Greece,Tunisia,"65,283875","65,43225","66,1020416666667","0,290166666666667","1353,20950766864","13,5320950766864",1,"2861,82975",1,"2060,3780125","1,4","2100,94944100473"
Cairo,Jerusalem,isls,telesat,1015,351,353,8.60,8.60,15.21,17.20,20.78,1.67,199980/200000 (100%),kuiper,630,1156,1158,4.69,4.69,8.93,9.38,10.03,0.30,199991/200000 (100%),starlink,550,1584,1586,3.99,3.99,7.44,7.98,8.82,0.36,199992/200000 (100%),Egypt,Israel,"108,06","109,252208333333","117,607708333333","1,98595833333333","425,321846477469","4,25321846477469",1,"2718,7964375",1,"1467,863",1,"1227,44375"
Jerusalem,Limassol,isls,telesat,1015,353,354,8.75,8.75,16.69,17.50,19.79,0.81,199981/200000 (100%),kuiper,630,1158,1159,5.00,5.00,8.96,9.99,11.95,0.92,199991/200000 (100%),starlink,550,1586,1587,4.03,4.03,7.32,8.06,8.98,0.47,199993/200000 (100%),Israel,Cyprus,"107,186458333333","108,264041666667","114,038375","1,58195833333333","380,773696772313","3,80773696772314",1,"2618,3525625",1,"1601,03140625",1,"1286,768296875"
Jerusalem,Tunis,isls,telesat,1015,353,359,11.54,11.54,22.43,23.07,24.86,0.64,199977/200000 (100%),kuiper,630,1158,1164,11.64,11.64,21.29,23.28,25.63,0.86,199978/200000 (100%),starlink,550,1586,1592,11.82,11.82,20.97,23.64,33.55,4.09,199968/200000 (100%),Israel,Tunisia,"100,486791666667","100,599583333333","101,034458333333","0,29025","2404,40497764458","24,0440497764458",1,"3565,510875",2,"3504,84080184626",3,"4149,407264845"
