origin_name,destination_name,satellites_telesat,satellites_distance_telesat,satellites_kuiper,satellites_distance_kuiper,satellites_starlink,satellites_distance_starlink
Cairo,Athens,1.0,2798.674125,1.0,1875.4878958333327,1.0,1623.131234375
Cairo,Tunis,1.0,3368.36175,2.0,3229.0052201510434,2.0,3267.279074492201
TelAviv,Beirut,1.0,2712.310958333333,1.0,1473.3704166666666,1.0,1235.256203125
Beirut,Izmir,1.0,2923.778625,1.0,1672.328666666667,1.0,1540.2767857142858
TelAviv,Limassol,1.0,2616.4821875,1.0,1605.388234375,1.0,1265.3148958333334
Cairo,Jerusalem,1.0,2718.7964375,1.0,1467.8629999999998,1.0,1227.44375
Cairo,TelAviv,1.0,2327.4404375000004,1.0,1461.7098281249998,1.0,1258.735975
Jerusalem,Ankara,1.0,2830.7743333333333,1.0,1694.2011666666665,1.0,1514.85053125
Limassol,Izmir,1.0,2865.9970625,1.0,1547.1607083333336,1.0,1395.864775
Jerusalem,Beirut,1.0,2706.4137916666664,1.0,1466.0743958333333,1.0,1245.665175
Beirut,Athens,1.0,2970.9263125,1.0,1837.9558958333332,1.0,1693.6084374999998
Ankara,Izmir,1.0,2730.724125,1.0,1589.842583333333,1.0,1286.52903125
Ankara,Athens,1.0,2675.4819375,1.0,1697.1421875,1.0,1411.971225
Jerusalem,Izmir,1.0,2949.2191875,1.0,1785.3599166666663,1.0,1575.6526375
Jerusalem,Limassol,1.0,2618.3525625,1.0,1601.03140625,1.0,1286.768296875
Izmir,Athens,1.0,2372.08325,1.0,1465.2871041666667,1.0,1229.6753229166666
Cairo,Izmir,1.0,2771.27525,1.0,1786.2090833333332,1.0,1563.93145
Beirut,Tunis,1.0,3507.2955625,2.0,3435.911751858296,3.0,4076.146906871777
TelAviv,Ankara,1.0,2806.141125,1.0,1667.4925208333334,1.0,1492.71225
Cairo,Ankara,1.0,2898.782,1.0,1838.1035625,1.0,1630.576046875
Ankara,Tunis,1.0,3264.0681875,2.0,3251.55395962621,2.0,3233.6041569429417
Cairo,Beirut,1.0,2459.6713125,1.0,1534.7648958333332,1.0,1318.5463593749998
Limassol,Beirut,1.0,2749.486625,1.0,1497.9065625,1.0,1290.541575
TelAviv,Jerusalem,1.0,2632.4659166666665,1.0,1448.71359375,1.0,1188.662546875
Jerusalem,Athens,1.0,3012.973125,1.0,1944.9083125,1.1666666666666667,1808.153141858108
TelAviv,Tunis,1.0,3636.8953125,2.0,3370.11143907359,3.0,4108.2813431591285
Jerusalem,Tunis,1.0,3565.510875,2.0,3504.840801846264,3.0,4149.407264844998
Limassol,Athens,1.0,2756.9219375,1.0,1701.37840625,1.0,1474.9765000000002
Athens,Tunis,1.0,2861.82975,1.0,2060.3780125000003,1.4,2100.949441004726
TelAviv,Athens,1.0,3013.8525625,1.0,1910.90440625,1.0,1700.216175
Limassol,Ankara,1.0,2650.195875,1.0,1533.12184375,1.0,1368.98995
Cairo,Limassol,1.0,2445.1080625,1.0,1542.6086875,1.0,1316.2364374999995
Beirut,Ankara,1.0,2715.005125,1.0,1566.7328333333337,1.0,1386.0246171875
Izmir,Tunis,1.0,2977.06590625,1.4285714285714286,2434.993405779242,1.5,2424.5853427143643
Limassol,Tunis,1.0,3329.44,2.0,3239.7683398376416,2.5,3593.394652888041
TelAviv,Izmir,1.0,2949.6335625,1.0,1747.2694583333332,1.0,1542.9786874999998
